t Vext Gehp
0.000e+00 1.170e+00 3.400e+27
4.699e-07 1.165e+00 3.400e+27
9.398e-07 1.161e+00 3.400e+27
1.410e-06 1.156e+00 3.400e+27
1.880e-06 1.151e+00 3.400e+27
2.349e-06 1.147e+00 3.400e+27
2.819e-06 1.142e+00 3.400e+27
3.289e-06 1.137e+00 3.400e+27
3.759e-06 1.132e+00 3.400e+27
4.229e-06 1.128e+00 3.400e+27
4.699e-06 1.123e+00 3.400e+27
5.169e-06 1.118e+00 3.400e+27
5.639e-06 1.114e+00 3.400e+27
6.108e-06 1.109e+00 3.400e+27
6.578e-06 1.104e+00 3.400e+27
7.048e-06 1.100e+00 3.400e+27
7.518e-06 1.095e+00 3.400e+27
7.988e-06 1.090e+00 3.400e+27
8.458e-06 1.085e+00 3.400e+27
8.928e-06 1.081e+00 3.400e+27
9.398e-06 1.076e+00 3.400e+27
9.867e-06 1.071e+00 3.400e+27
1.034e-05 1.067e+00 3.400e+27
1.081e-05 1.062e+00 3.400e+27
1.128e-05 1.057e+00 3.400e+27
1.175e-05 1.053e+00 3.400e+27
1.222e-05 1.048e+00 3.400e+27
1.269e-05 1.043e+00 3.400e+27
1.316e-05 1.038e+00 3.400e+27
1.363e-05 1.034e+00 3.400e+27
1.410e-05 1.029e+00 3.400e+27
1.457e-05 1.024e+00 3.400e+27
1.504e-05 1.020e+00 3.400e+27
1.551e-05 1.015e+00 3.400e+27
1.598e-05 1.010e+00 3.400e+27
1.645e-05 1.006e+00 3.400e+27
1.692e-05 1.001e+00 3.400e+27
1.739e-05 9.961e-01 3.400e+27
1.786e-05 9.914e-01 3.400e+27
1.833e-05 9.867e-01 3.400e+27
1.880e-05 9.820e-01 3.400e+27
1.927e-05 9.773e-01 3.400e+27
1.973e-05 9.727e-01 3.400e+27
2.020e-05 9.680e-01 3.400e+27
2.067e-05 9.633e-01 3.400e+27
2.114e-05 9.586e-01 3.400e+27
2.161e-05 9.539e-01 3.400e+27
2.208e-05 9.492e-01 3.400e+27
2.255e-05 9.445e-01 3.400e+27
2.302e-05 9.398e-01 3.400e+27
2.349e-05 9.351e-01 3.400e+27
2.396e-05 9.304e-01 3.400e+27
2.443e-05 9.257e-01 3.400e+27
2.490e-05 9.210e-01 3.400e+27
2.537e-05 9.163e-01 3.400e+27
2.584e-05 9.116e-01 3.400e+27
2.631e-05 9.069e-01 3.400e+27
2.678e-05 9.022e-01 3.400e+27
2.725e-05 8.975e-01 3.400e+27
2.772e-05 8.928e-01 3.400e+27
2.819e-05 8.881e-01 3.400e+27
2.866e-05 8.834e-01 3.400e+27
2.913e-05 8.787e-01 3.400e+27
2.960e-05 8.740e-01 3.400e+27
3.007e-05 8.693e-01 3.400e+27
3.054e-05 8.646e-01 3.400e+27
3.101e-05 8.599e-01 3.400e+27
3.148e-05 8.552e-01 3.400e+27
3.195e-05 8.505e-01 3.400e+27
3.242e-05 8.458e-01 3.400e+27
3.289e-05 8.411e-01 3.400e+27
3.336e-05 8.364e-01 3.400e+27
3.383e-05 8.317e-01 3.400e+27
3.430e-05 8.270e-01 3.400e+27
3.477e-05 8.223e-01 3.400e+27
3.524e-05 8.176e-01 3.400e+27
3.571e-05 8.129e-01 3.400e+27
3.618e-05 8.082e-01 3.400e+27
3.665e-05 8.035e-01 3.400e+27
3.712e-05 7.988e-01 3.400e+27
3.759e-05 7.941e-01 3.400e+27
3.806e-05 7.894e-01 3.400e+27
3.853e-05 7.847e-01 3.400e+27
3.900e-05 7.800e-01 3.400e+27
3.947e-05 7.753e-01 3.400e+27
3.994e-05 7.706e-01 3.400e+27
4.041e-05 7.659e-01 3.400e+27
4.088e-05 7.612e-01 3.400e+27
4.135e-05 7.565e-01 3.400e+27
4.182e-05 7.518e-01 3.400e+27
4.229e-05 7.471e-01 3.400e+27
4.276e-05 7.424e-01 3.400e+27
4.323e-05 7.377e-01 3.400e+27
4.370e-05 7.330e-01 3.400e+27
4.417e-05 7.283e-01 3.400e+27
4.464e-05 7.236e-01 3.400e+27
4.511e-05 7.189e-01 3.400e+27
4.558e-05 7.142e-01 3.400e+27
4.605e-05 7.095e-01 3.400e+27
4.652e-05 7.048e-01 3.400e+27
4.699e-05 7.001e-01 3.400e+27
4.746e-05 6.954e-01 3.400e+27
4.793e-05 6.907e-01 3.400e+27
4.840e-05 6.860e-01 3.400e+27
4.887e-05 6.813e-01 3.400e+27
4.934e-05 6.766e-01 3.400e+27
4.981e-05 6.719e-01 3.400e+27
5.028e-05 6.672e-01 3.400e+27
5.075e-05 6.625e-01 3.400e+27
5.122e-05 6.578e-01 3.400e+27
5.169e-05 6.531e-01 3.400e+27
5.216e-05 6.484e-01 3.400e+27
5.263e-05 6.437e-01 3.400e+27
5.310e-05 6.390e-01 3.400e+27
5.357e-05 6.343e-01 3.400e+27
5.404e-05 6.296e-01 3.400e+27
5.451e-05 6.249e-01 3.400e+27
5.498e-05 6.202e-01 3.400e+27
5.545e-05 6.155e-01 3.400e+27
5.592e-05 6.108e-01 3.400e+27
5.639e-05 6.061e-01 3.400e+27
5.686e-05 6.014e-01 3.400e+27
5.733e-05 5.967e-01 3.400e+27
5.780e-05 5.920e-01 3.400e+27
5.827e-05 5.873e-01 3.400e+27
5.873e-05 5.827e-01 3.400e+27
5.920e-05 5.780e-01 3.400e+27
5.967e-05 5.733e-01 3.400e+27
6.014e-05 5.686e-01 3.400e+27
