t Vext Gehp
0.000e+00 1.170e+00 3.400e+27
1.012e-03 1.165e+00 3.400e+27
2.025e-03 1.161e+00 3.400e+27
3.037e-03 1.156e+00 3.400e+27
4.049e-03 1.151e+00 3.400e+27
5.062e-03 1.147e+00 3.400e+27
6.074e-03 1.142e+00 3.400e+27
7.086e-03 1.137e+00 3.400e+27
8.099e-03 1.132e+00 3.400e+27
9.111e-03 1.128e+00 3.400e+27
1.012e-02 1.123e+00 3.400e+27
1.114e-02 1.118e+00 3.400e+27
1.215e-02 1.114e+00 3.400e+27
1.316e-02 1.109e+00 3.400e+27
1.417e-02 1.104e+00 3.400e+27
1.518e-02 1.100e+00 3.400e+27
1.620e-02 1.095e+00 3.400e+27
1.721e-02 1.090e+00 3.400e+27
1.822e-02 1.085e+00 3.400e+27
1.923e-02 1.081e+00 3.400e+27
2.025e-02 1.076e+00 3.400e+27
2.126e-02 1.071e+00 3.400e+27
2.227e-02 1.067e+00 3.400e+27
2.328e-02 1.062e+00 3.400e+27
2.430e-02 1.057e+00 3.400e+27
2.531e-02 1.053e+00 3.400e+27
2.632e-02 1.048e+00 3.400e+27
2.733e-02 1.043e+00 3.400e+27
2.835e-02 1.038e+00 3.400e+27
2.936e-02 1.034e+00 3.400e+27
3.037e-02 1.029e+00 3.400e+27
3.138e-02 1.024e+00 3.400e+27
3.239e-02 1.020e+00 3.400e+27
3.341e-02 1.015e+00 3.400e+27
3.442e-02 1.010e+00 3.400e+27
3.543e-02 1.006e+00 3.400e+27
3.644e-02 1.001e+00 3.400e+27
3.746e-02 9.961e-01 3.400e+27
3.847e-02 9.914e-01 3.400e+27
3.948e-02 9.867e-01 3.400e+27
4.049e-02 9.820e-01 3.400e+27
4.151e-02 9.773e-01 3.400e+27
4.252e-02 9.727e-01 3.400e+27
4.353e-02 9.680e-01 3.400e+27
4.454e-02 9.633e-01 3.400e+27
4.555e-02 9.586e-01 3.400e+27
4.657e-02 9.539e-01 3.400e+27
4.758e-02 9.492e-01 3.400e+27
4.859e-02 9.445e-01 3.400e+27
4.960e-02 9.398e-01 3.400e+27
5.062e-02 9.351e-01 3.400e+27
5.163e-02 9.304e-01 3.400e+27
5.264e-02 9.257e-01 3.400e+27
5.365e-02 9.210e-01 3.400e+27
5.467e-02 9.163e-01 3.400e+27
5.568e-02 9.116e-01 3.400e+27
5.669e-02 9.069e-01 3.400e+27
5.770e-02 9.022e-01 3.400e+27
5.871e-02 8.975e-01 3.400e+27
5.973e-02 8.928e-01 3.400e+27
6.074e-02 8.881e-01 3.400e+27
6.175e-02 8.834e-01 3.400e+27
6.276e-02 8.787e-01 3.400e+27
6.378e-02 8.740e-01 3.400e+27
6.479e-02 8.693e-01 3.400e+27
6.580e-02 8.646e-01 3.400e+27
6.681e-02 8.599e-01 3.400e+27
6.783e-02 8.552e-01 3.400e+27
6.884e-02 8.505e-01 3.400e+27
6.985e-02 8.458e-01 3.400e+27
7.086e-02 8.411e-01 3.400e+27
7.188e-02 8.364e-01 3.400e+27
7.289e-02 8.317e-01 3.400e+27
7.390e-02 8.270e-01 3.400e+27
7.491e-02 8.223e-01 3.400e+27
7.592e-02 8.176e-01 3.400e+27
7.694e-02 8.129e-01 3.400e+27
7.795e-02 8.082e-01 3.400e+27
7.896e-02 8.035e-01 3.400e+27
7.997e-02 7.988e-01 3.400e+27
8.099e-02 7.941e-01 3.400e+27
8.200e-02 7.894e-01 3.400e+27
8.301e-02 7.847e-01 3.400e+27
8.402e-02 7.800e-01 3.400e+27
8.504e-02 7.753e-01 3.400e+27
8.605e-02 7.706e-01 3.400e+27
8.706e-02 7.659e-01 3.400e+27
8.807e-02 7.612e-01 3.400e+27
8.908e-02 7.565e-01 3.400e+27
9.010e-02 7.518e-01 3.400e+27
9.111e-02 7.471e-01 3.400e+27
9.212e-02 7.424e-01 3.400e+27
9.313e-02 7.377e-01 3.400e+27
9.415e-02 7.330e-01 3.400e+27
9.516e-02 7.283e-01 3.400e+27
9.617e-02 7.236e-01 3.400e+27
9.718e-02 7.189e-01 3.400e+27
9.820e-02 7.142e-01 3.400e+27
9.921e-02 7.095e-01 3.400e+27
1.002e-01 7.048e-01 3.400e+27
1.012e-01 7.001e-01 3.400e+27
1.022e-01 6.954e-01 3.400e+27
1.033e-01 6.907e-01 3.400e+27
1.043e-01 6.860e-01 3.400e+27
1.053e-01 6.813e-01 3.400e+27
1.063e-01 6.766e-01 3.400e+27
1.073e-01 6.719e-01 3.400e+27
1.083e-01 6.672e-01 3.400e+27
1.093e-01 6.625e-01 3.400e+27
1.103e-01 6.578e-01 3.400e+27
1.114e-01 6.531e-01 3.400e+27
1.124e-01 6.484e-01 3.400e+27
1.134e-01 6.437e-01 3.400e+27
1.144e-01 6.390e-01 3.400e+27
1.154e-01 6.343e-01 3.400e+27
1.164e-01 6.296e-01 3.400e+27
1.174e-01 6.249e-01 3.400e+27
1.184e-01 6.202e-01 3.400e+27
1.195e-01 6.155e-01 3.400e+27
1.205e-01 6.108e-01 3.400e+27
1.215e-01 6.061e-01 3.400e+27
1.225e-01 6.014e-01 3.400e+27
1.235e-01 5.967e-01 3.400e+27
1.245e-01 5.920e-01 3.400e+27
1.255e-01 5.873e-01 3.400e+27
1.265e-01 5.827e-01 3.400e+27
1.276e-01 5.780e-01 3.400e+27
1.286e-01 5.733e-01 3.400e+27
1.296e-01 5.686e-01 3.400e+27
1.306e-01 5.639e-01 3.400e+27
1.316e-01 5.592e-01 3.400e+27
1.326e-01 5.545e-01 3.400e+27
1.336e-01 5.498e-01 3.400e+27
1.346e-01 5.451e-01 3.400e+27
1.357e-01 5.404e-01 3.400e+27
1.367e-01 5.357e-01 3.400e+27
1.377e-01 5.310e-01 3.400e+27
1.387e-01 5.263e-01 3.400e+27
1.397e-01 5.216e-01 3.400e+27
1.407e-01 5.169e-01 3.400e+27
1.417e-01 5.122e-01 3.400e+27
1.427e-01 5.075e-01 3.400e+27
1.438e-01 5.028e-01 3.400e+27
1.448e-01 4.981e-01 3.400e+27
1.458e-01 4.934e-01 3.400e+27
1.468e-01 4.887e-01 3.400e+27
1.478e-01 4.840e-01 3.400e+27
1.488e-01 4.793e-01 3.400e+27
1.498e-01 4.746e-01 3.400e+27
1.508e-01 4.699e-01 3.400e+27
1.518e-01 4.652e-01 3.400e+27
1.529e-01 4.605e-01 3.400e+27
1.539e-01 4.558e-01 3.400e+27
1.549e-01 4.511e-01 3.400e+27
1.559e-01 4.464e-01 3.400e+27
1.569e-01 4.417e-01 3.400e+27
1.579e-01 4.370e-01 3.400e+27
1.589e-01 4.323e-01 3.400e+27
1.599e-01 4.276e-01 3.400e+27
1.610e-01 4.229e-01 3.400e+27
1.620e-01 4.182e-01 3.400e+27
1.630e-01 4.135e-01 3.400e+27
1.640e-01 4.088e-01 3.400e+27
1.650e-01 4.041e-01 3.400e+27
1.660e-01 3.994e-01 3.400e+27
1.670e-01 3.947e-01 3.400e+27
1.680e-01 3.900e-01 3.400e+27
1.691e-01 3.853e-01 3.400e+27
1.701e-01 3.806e-01 3.400e+27
1.711e-01 3.759e-01 3.400e+27
1.721e-01 3.712e-01 3.400e+27
1.731e-01 3.665e-01 3.400e+27
1.741e-01 3.618e-01 3.400e+27
1.751e-01 3.571e-01 3.400e+27
1.761e-01 3.524e-01 3.400e+27
1.772e-01 3.477e-01 3.400e+27
1.782e-01 3.430e-01 3.400e+27
1.792e-01 3.383e-01 3.400e+27
1.802e-01 3.336e-01 3.400e+27
1.812e-01 3.289e-01 3.400e+27
1.822e-01 3.242e-01 3.400e+27
1.832e-01 3.195e-01 3.400e+27
1.842e-01 3.148e-01 3.400e+27
1.853e-01 3.101e-01 3.400e+27
1.863e-01 3.054e-01 3.400e+27
1.873e-01 3.007e-01 3.400e+27
1.883e-01 2.960e-01 3.400e+27
1.893e-01 2.913e-01 3.400e+27
1.903e-01 2.866e-01 3.400e+27
1.913e-01 2.819e-01 3.400e+27
1.923e-01 2.772e-01 3.400e+27
1.934e-01 2.725e-01 3.400e+27
1.944e-01 2.678e-01 3.400e+27
1.954e-01 2.631e-01 3.400e+27
1.964e-01 2.584e-01 3.400e+27
1.974e-01 2.537e-01 3.400e+27
1.984e-01 2.490e-01 3.400e+27
1.994e-01 2.443e-01 3.400e+27
2.004e-01 2.396e-01 3.400e+27
2.015e-01 2.349e-01 3.400e+27
2.025e-01 2.302e-01 3.400e+27
2.035e-01 2.255e-01 3.400e+27
2.045e-01 2.208e-01 3.400e+27
2.055e-01 2.161e-01 3.400e+27
2.065e-01 2.114e-01 3.400e+27
2.075e-01 2.067e-01 3.400e+27
2.085e-01 2.020e-01 3.400e+27
2.096e-01 1.973e-01 3.400e+27
2.106e-01 1.927e-01 3.400e+27
2.116e-01 1.880e-01 3.400e+27
2.126e-01 1.833e-01 3.400e+27
2.136e-01 1.786e-01 3.400e+27
2.146e-01 1.739e-01 3.400e+27
2.156e-01 1.692e-01 3.400e+27
2.166e-01 1.645e-01 3.400e+27
2.176e-01 1.598e-01 3.400e+27
2.187e-01 1.551e-01 3.400e+27
2.197e-01 1.504e-01 3.400e+27
2.207e-01 1.457e-01 3.400e+27
2.217e-01 1.410e-01 3.400e+27
2.227e-01 1.363e-01 3.400e+27
2.237e-01 1.316e-01 3.400e+27
2.247e-01 1.269e-01 3.400e+27
2.257e-01 1.222e-01 3.400e+27
2.268e-01 1.175e-01 3.400e+27
2.278e-01 1.128e-01 3.400e+27
2.288e-01 1.081e-01 3.400e+27
2.298e-01 1.034e-01 3.400e+27
2.308e-01 9.867e-02 3.400e+27
2.318e-01 9.398e-02 3.400e+27
2.328e-01 8.928e-02 3.400e+27
2.338e-01 8.458e-02 3.400e+27
2.349e-01 7.988e-02 3.400e+27
2.359e-01 7.518e-02 3.400e+27
2.369e-01 7.048e-02 3.400e+27
2.379e-01 6.578e-02 3.400e+27
2.389e-01 6.108e-02 3.400e+27
2.399e-01 5.639e-02 3.400e+27
2.409e-01 5.169e-02 3.400e+27
2.419e-01 4.699e-02 3.400e+27
2.430e-01 4.229e-02 3.400e+27
2.440e-01 3.759e-02 3.400e+27
2.450e-01 3.289e-02 3.400e+27
2.460e-01 2.819e-02 3.400e+27
2.470e-01 2.349e-02 3.400e+27
2.480e-01 1.880e-02 3.400e+27
2.490e-01 1.410e-02 3.400e+27
2.500e-01 9.398e-03 3.400e+27
2.511e-01 4.699e-03 3.400e+27
2.521e-01 0.000e+00 3.400e+27
2.531e-01 4.699e-03 3.400e+27
2.541e-01 9.398e-03 3.400e+27
2.551e-01 1.410e-02 3.400e+27
2.561e-01 1.880e-02 3.400e+27
2.571e-01 2.349e-02 3.400e+27
2.581e-01 2.819e-02 3.400e+27
2.592e-01 3.289e-02 3.400e+27
2.602e-01 3.759e-02 3.400e+27
2.612e-01 4.229e-02 3.400e+27
2.622e-01 4.699e-02 3.400e+27
2.632e-01 5.169e-02 3.400e+27
2.642e-01 5.639e-02 3.400e+27
2.652e-01 6.108e-02 3.400e+27
2.662e-01 6.578e-02 3.400e+27
2.673e-01 7.048e-02 3.400e+27
2.683e-01 7.518e-02 3.400e+27
2.693e-01 7.988e-02 3.400e+27
2.703e-01 8.458e-02 3.400e+27
2.713e-01 8.928e-02 3.400e+27
2.723e-01 9.398e-02 3.400e+27
2.733e-01 9.867e-02 3.400e+27
2.743e-01 1.034e-01 3.400e+27
2.754e-01 1.081e-01 3.400e+27
2.764e-01 1.128e-01 3.400e+27
2.774e-01 1.175e-01 3.400e+27
2.784e-01 1.222e-01 3.400e+27
2.794e-01 1.269e-01 3.400e+27
2.804e-01 1.316e-01 3.400e+27
2.814e-01 1.363e-01 3.400e+27
2.824e-01 1.410e-01 3.400e+27
2.835e-01 1.457e-01 3.400e+27
2.845e-01 1.504e-01 3.400e+27
2.855e-01 1.551e-01 3.400e+27
2.865e-01 1.598e-01 3.400e+27
2.875e-01 1.645e-01 3.400e+27
2.885e-01 1.692e-01 3.400e+27
2.895e-01 1.739e-01 3.400e+27
2.905e-01 1.786e-01 3.400e+27
2.915e-01 1.833e-01 3.400e+27
2.926e-01 1.880e-01 3.400e+27
2.936e-01 1.927e-01 3.400e+27
2.946e-01 1.973e-01 3.400e+27
2.956e-01 2.020e-01 3.400e+27
2.966e-01 2.067e-01 3.400e+27
2.976e-01 2.114e-01 3.400e+27
2.986e-01 2.161e-01 3.400e+27
2.996e-01 2.208e-01 3.400e+27
3.007e-01 2.255e-01 3.400e+27
3.017e-01 2.302e-01 3.400e+27
3.027e-01 2.349e-01 3.400e+27
3.037e-01 2.396e-01 3.400e+27
3.047e-01 2.443e-01 3.400e+27
3.057e-01 2.490e-01 3.400e+27
3.067e-01 2.537e-01 3.400e+27
3.077e-01 2.584e-01 3.400e+27
3.088e-01 2.631e-01 3.400e+27
3.098e-01 2.678e-01 3.400e+27
3.108e-01 2.725e-01 3.400e+27
3.118e-01 2.772e-01 3.400e+27
3.128e-01 2.819e-01 3.400e+27
3.138e-01 2.866e-01 3.400e+27
3.148e-01 2.913e-01 3.400e+27
3.158e-01 2.960e-01 3.400e+27
3.169e-01 3.007e-01 3.400e+27
3.179e-01 3.054e-01 3.400e+27
3.189e-01 3.101e-01 3.400e+27
3.199e-01 3.148e-01 3.400e+27
3.209e-01 3.195e-01 3.400e+27
3.219e-01 3.242e-01 3.400e+27
3.229e-01 3.289e-01 3.400e+27
3.239e-01 3.336e-01 3.400e+27
3.250e-01 3.383e-01 3.400e+27
3.260e-01 3.430e-01 3.400e+27
3.270e-01 3.477e-01 3.400e+27
3.280e-01 3.524e-01 3.400e+27
3.290e-01 3.571e-01 3.400e+27
3.300e-01 3.618e-01 3.400e+27
3.310e-01 3.665e-01 3.400e+27
3.320e-01 3.712e-01 3.400e+27
3.331e-01 3.759e-01 3.400e+27
3.341e-01 3.806e-01 3.400e+27
3.351e-01 3.853e-01 3.400e+27
3.361e-01 3.900e-01 3.400e+27
3.371e-01 3.947e-01 3.400e+27
3.381e-01 3.994e-01 3.400e+27
3.391e-01 4.041e-01 3.400e+27
3.401e-01 4.088e-01 3.400e+27
3.412e-01 4.135e-01 3.400e+27
3.422e-01 4.182e-01 3.400e+27
3.432e-01 4.229e-01 3.400e+27
3.442e-01 4.276e-01 3.400e+27
3.452e-01 4.323e-01 3.400e+27
3.462e-01 4.370e-01 3.400e+27
3.472e-01 4.417e-01 3.400e+27
3.482e-01 4.464e-01 3.400e+27
3.493e-01 4.511e-01 3.400e+27
3.503e-01 4.558e-01 3.400e+27
3.513e-01 4.605e-01 3.400e+27
3.523e-01 4.652e-01 3.400e+27
3.533e-01 4.699e-01 3.400e+27
3.543e-01 4.746e-01 3.400e+27
3.553e-01 4.793e-01 3.400e+27
3.563e-01 4.840e-01 3.400e+27
3.574e-01 4.887e-01 3.400e+27
3.584e-01 4.934e-01 3.400e+27
3.594e-01 4.981e-01 3.400e+27
3.604e-01 5.028e-01 3.400e+27
3.614e-01 5.075e-01 3.400e+27
3.624e-01 5.122e-01 3.400e+27
3.634e-01 5.169e-01 3.400e+27
3.644e-01 5.216e-01 3.400e+27
3.654e-01 5.263e-01 3.400e+27
3.665e-01 5.310e-01 3.400e+27
3.675e-01 5.357e-01 3.400e+27
3.685e-01 5.404e-01 3.400e+27
3.695e-01 5.451e-01 3.400e+27
3.705e-01 5.498e-01 3.400e+27
3.715e-01 5.545e-01 3.400e+27
3.725e-01 5.592e-01 3.400e+27
3.735e-01 5.639e-01 3.400e+27
3.746e-01 5.686e-01 3.400e+27
3.756e-01 5.733e-01 3.400e+27
3.766e-01 5.780e-01 3.400e+27
3.776e-01 5.827e-01 3.400e+27
3.786e-01 5.873e-01 3.400e+27
3.796e-01 5.920e-01 3.400e+27
3.806e-01 5.967e-01 3.400e+27
3.816e-01 6.014e-01 3.400e+27
3.827e-01 6.061e-01 3.400e+27
3.837e-01 6.108e-01 3.400e+27
3.847e-01 6.155e-01 3.400e+27
3.857e-01 6.202e-01 3.400e+27
3.867e-01 6.249e-01 3.400e+27
3.877e-01 6.296e-01 3.400e+27
3.887e-01 6.343e-01 3.400e+27
3.897e-01 6.390e-01 3.400e+27
3.908e-01 6.437e-01 3.400e+27
3.918e-01 6.484e-01 3.400e+27
3.928e-01 6.531e-01 3.400e+27
3.938e-01 6.578e-01 3.400e+27
3.948e-01 6.625e-01 3.400e+27
3.958e-01 6.672e-01 3.400e+27
3.968e-01 6.719e-01 3.400e+27
3.978e-01 6.766e-01 3.400e+27
3.989e-01 6.813e-01 3.400e+27
3.999e-01 6.860e-01 3.400e+27
4.009e-01 6.907e-01 3.400e+27
4.019e-01 6.954e-01 3.400e+27
4.029e-01 7.001e-01 3.400e+27
4.039e-01 7.048e-01 3.400e+27
4.049e-01 7.095e-01 3.400e+27
4.059e-01 7.142e-01 3.400e+27
4.070e-01 7.189e-01 3.400e+27
4.080e-01 7.236e-01 3.400e+27
4.090e-01 7.283e-01 3.400e+27
4.100e-01 7.330e-01 3.400e+27
4.110e-01 7.377e-01 3.400e+27
4.120e-01 7.424e-01 3.400e+27
4.130e-01 7.471e-01 3.400e+27
4.140e-01 7.518e-01 3.400e+27
4.151e-01 7.565e-01 3.400e+27
4.161e-01 7.612e-01 3.400e+27
4.171e-01 7.659e-01 3.400e+27
4.181e-01 7.706e-01 3.400e+27
4.191e-01 7.753e-01 3.400e+27
4.201e-01 7.800e-01 3.400e+27
4.211e-01 7.847e-01 3.400e+27
4.221e-01 7.894e-01 3.400e+27
4.232e-01 7.941e-01 3.400e+27
4.242e-01 7.988e-01 3.400e+27
4.252e-01 8.035e-01 3.400e+27
4.262e-01 8.082e-01 3.400e+27
4.272e-01 8.129e-01 3.400e+27
4.282e-01 8.176e-01 3.400e+27
4.292e-01 8.223e-01 3.400e+27
4.302e-01 8.270e-01 3.400e+27
4.313e-01 8.317e-01 3.400e+27
4.323e-01 8.364e-01 3.400e+27
4.333e-01 8.411e-01 3.400e+27
4.343e-01 8.458e-01 3.400e+27
4.353e-01 8.505e-01 3.400e+27
4.363e-01 8.552e-01 3.400e+27
4.373e-01 8.599e-01 3.400e+27
4.383e-01 8.646e-01 3.400e+27
4.393e-01 8.693e-01 3.400e+27
4.404e-01 8.740e-01 3.400e+27
4.414e-01 8.787e-01 3.400e+27
4.424e-01 8.834e-01 3.400e+27
4.434e-01 8.881e-01 3.400e+27
4.444e-01 8.928e-01 3.400e+27
4.454e-01 8.975e-01 3.400e+27
4.464e-01 9.022e-01 3.400e+27
4.474e-01 9.069e-01 3.400e+27
4.485e-01 9.116e-01 3.400e+27
4.495e-01 9.163e-01 3.400e+27
4.505e-01 9.210e-01 3.400e+27
4.515e-01 9.257e-01 3.400e+27
4.525e-01 9.304e-01 3.400e+27
4.535e-01 9.351e-01 3.400e+27
4.545e-01 9.398e-01 3.400e+27
4.555e-01 9.445e-01 3.400e+27
4.566e-01 9.492e-01 3.400e+27
4.576e-01 9.539e-01 3.400e+27
4.586e-01 9.586e-01 3.400e+27
4.596e-01 9.633e-01 3.400e+27
4.606e-01 9.680e-01 3.400e+27
4.616e-01 9.727e-01 3.400e+27
4.626e-01 9.773e-01 3.400e+27
4.636e-01 9.820e-01 3.400e+27
4.647e-01 9.867e-01 3.400e+27
4.657e-01 9.914e-01 3.400e+27
4.667e-01 9.961e-01 3.400e+27
4.677e-01 1.001e+00 3.400e+27
4.687e-01 1.006e+00 3.400e+27
4.697e-01 1.010e+00 3.400e+27
4.707e-01 1.015e+00 3.400e+27
4.717e-01 1.020e+00 3.400e+27
4.728e-01 1.024e+00 3.400e+27
4.738e-01 1.029e+00 3.400e+27
4.748e-01 1.034e+00 3.400e+27
4.758e-01 1.038e+00 3.400e+27
4.768e-01 1.043e+00 3.400e+27
4.778e-01 1.048e+00 3.400e+27
4.788e-01 1.053e+00 3.400e+27
4.798e-01 1.057e+00 3.400e+27
4.809e-01 1.062e+00 3.400e+27
4.819e-01 1.067e+00 3.400e+27
4.829e-01 1.071e+00 3.400e+27
4.839e-01 1.076e+00 3.400e+27
4.849e-01 1.081e+00 3.400e+27
4.859e-01 1.085e+00 3.400e+27
4.869e-01 1.090e+00 3.400e+27
4.879e-01 1.095e+00 3.400e+27
4.890e-01 1.100e+00 3.400e+27
4.900e-01 1.104e+00 3.400e+27
4.910e-01 1.109e+00 3.400e+27
4.920e-01 1.114e+00 3.400e+27
4.930e-01 1.118e+00 3.400e+27
4.940e-01 1.123e+00 3.400e+27
4.950e-01 1.128e+00 3.400e+27
4.960e-01 1.132e+00 3.400e+27
4.971e-01 1.137e+00 3.400e+27
4.981e-01 1.142e+00 3.400e+27
4.991e-01 1.147e+00 3.400e+27
5.001e-01 1.151e+00 3.400e+27
5.011e-01 1.156e+00 3.400e+27
5.021e-01 1.161e+00 3.400e+27
5.031e-01 1.165e+00 3.400e+27
5.041e-01 1.170e+00 3.400e+27
