V	J
-0.1	-53.1496062992126
-0.095	-52.686428902269604
-0.09	-52.686428902269604
-0.085	-52.5706345530338
-0.08	-52.4548402037981
-0.075	-52.5706345530338
-0.07	-52.4548402037981
-0.065	-52.5706345530338
-0.06	-52.5706345530338
-0.055	-52.686428902269604
-0.05	-52.5706345530338
-0.045	-52.686428902269604
-0.04	-52.4548402037981
-0.035	-52.4548402037981
-0.03	-52.5706345530338
-0.025	-52.33904585456231
-0.02	-52.5706345530338
-0.015	-52.4548402037981
-0.01	-52.5706345530338
-0.005	-52.4548402037981
0.0	-52.5706345530338
0.005	-52.4548402037981
0.01	-52.4548402037981
0.015	-52.4548402037981
0.02	-52.2232515053265
0.025	-52.33904585456231
0.03	-52.2232515053265
0.035	-52.33904585456231
0.04	-52.33904585456231
0.045	-52.4548402037981
0.05	-52.33904585456231
0.055	-52.4548402037981
0.06	-52.33904585456231
0.065	-52.33904585456231
0.07	-52.33904585456231
0.075	-52.2232515053265
0.08	-52.33904585456231
0.085	-52.2232515053265
0.09	-52.2232515053265
0.095	-52.2232515053265
0.1	-52.33904585456231
0.105	-52.1074571560908
0.11	-52.2232515053265
0.115	-52.2232515053265
0.12	-51.991662806855
0.125	-52.1074571560908
0.13	-51.991662806855
0.135	-52.1074571560908
0.14	-51.991662806855
0.145	-52.2232515053265
0.15	-51.991662806855
0.155	-52.2232515053265
0.16	-52.1074571560908
0.165	-51.87586845761929
0.17	-51.991662806855
0.175	-51.87586845761929
0.18	-51.991662806855
0.185	-51.991662806855
0.19	-52.1074571560908
0.195	-51.991662806855
0.2	-52.1074571560908
0.205	-51.87586845761929
0.21	-51.87586845761929
0.215	-51.991662806855
0.22	-51.76007410838349
0.225	-51.87586845761929
0.23	-51.76007410838349
0.235	-51.87586845761929
0.24	-51.76007410838349
0.245	-51.87586845761929
0.25	-51.6442797591477
0.255	-51.76007410838349
0.26	-51.76007410838349
0.265	-51.528485409912
0.27	-51.6442797591477
0.275	-51.412691060676195
0.28	-51.528485409912
0.285	-51.528485409912
0.29	-51.6442797591477
0.295	-51.528485409912
0.3	-51.6442797591477
0.305	-51.528485409912
0.31	-51.296896711440496
0.315	-51.412691060676195
0.32	-51.1811023622047
0.325	-51.412691060676195
0.33	-51.296896711440496
0.335	-51.412691060676195
0.34	-51.296896711440496
0.345	-51.412691060676195
0.35	-51.1811023622047
0.355	-51.065308012969
0.36	-51.1811023622047
0.365	-50.9495136637332
0.37	-51.065308012969
0.375	-50.9495136637332
0.38	-51.065308012969
0.385	-50.9495136637332
0.39	-51.1811023622047
0.395	-50.9495136637332
0.4	-51.065308012969
0.405	-50.9495136637332
0.41	-50.8337193144975
0.415	-50.8337193144975
0.42	-50.7179249652617
0.425	-50.8337193144975
0.43	-50.8337193144975
0.435	-50.9495136637332
0.44	-50.8337193144975
0.445	-50.9495136637332
0.45	-50.8337193144975
0.455	-50.7179249652617
0.46	-50.8337193144975
0.465	-50.602130616025896
0.47	-50.8337193144975
0.475	-50.7179249652617
0.48	-50.8337193144975
0.485	-50.7179249652617
0.49	-50.8337193144975
0.495	-50.602130616025896
0.5	-50.602130616025896
0.505	-50.602130616025896
0.51	-50.370541917554405
0.515	-50.4863362667902
0.52	-50.370541917554405
0.525	-50.370541917554405
0.53	-50.370541917554405
0.535	-50.370541917554405
0.54	-50.1389532190829
0.545	-50.2547475683187
0.55	-50.1389532190829
0.555	-49.907364520611395
0.56	-50.0231588698471
0.565	-49.7915701713756
0.57	-49.907364520611395
0.575	-49.7915701713756
0.58	-49.7915701713756
0.585	-49.675775822139904
0.59	-49.675775822139904
0.595	-49.5599814729041
0.6	-49.4441871236684
0.605	-49.4441871236684
0.61	-49.2125984251968
0.615	-49.2125984251968
0.62	-49.0968040759611
0.625	-49.0968040759611
0.63	-48.865215377489605
0.635	-48.981009726725304
0.64	-48.6336266790181
0.645	-48.6336266790181
0.65	-48.51783232978231
0.655	-48.170449282075005
0.66	-48.170449282075005
0.665	-47.8230662343678
0.67	-47.8230662343678
0.675	-47.591477535896196
0.68	-47.475683186660504
0.685	-47.1283001389532
0.69	-46.896711440481695
0.695	-46.4335340435387
0.7	-45.97035664659559
0.705	-45.62297359888839
0.71	-45.0440018527096
0.715	-44.5808244557665
0.72	-43.886058360352
0.725	-43.0754979157017
0.73	-42.033348772579906
0.735	-41.22278832792959
0.74	-39.8332561371005
0.745	-38.443723946271405
0.75	-36.8226030569708
0.755	-34.7383047707272
0.76	-32.5382121352478
0.765	-29.6433534043539
0.77	-26.748494673459902
0.775	-23.1588698471515
0.78	-19.106067623900003
0.785	-14.358499305233899
0.79	-9.05010305697082
0.795	-2.9367438628994895
0.8	4.3390458545623
0.805	12.2742010189903
0.81	21.5377489578509
0.815	31.727651690597497
0.82	43.770264011116296
0.825	56.507642427049596
0.83	70.9819360815192
0.835	86.7299675775822
0.84	104.446503010653
0.845	123.08939323761001
0.85	143.70078740157498
0.855	165.585919407133
0.86	189.20796665122703
0.865	214.335340435387
0.87	241.199629458082
0.875	269.685039370079
0.88	299.67577582214
0.885	331.28763316350194
0.89	364.173228346457
0.895	397.86938397406203
0.9	432.26030569708206
