V	J
-0.1	-3.6900185270958796
-0.095	-3.7118214451134794
-0.09	-3.7698865215377504
-0.085	-3.6340088003705393
-0.08	-3.78189207966651
-0.075	-3.6577281148679903
-0.07	-3.7044511347846205
-0.065	-3.5915539601667406
-0.06	-3.72052802223251
-0.055	-3.55460282538212
-0.05	-3.6698390458545607
-0.045	-3.67961440481705
-0.04	-3.55215840666975
-0.035	-3.6735155164428
-0.03	-3.5004249652616903
-0.025	-3.5936046780917104
-0.02	-3.5398425196850396
-0.015	-3.66103635942566
-0.01	-3.52444534506716
-0.005	-3.6914485873089395
0.0	-3.5842820750347397
0.005	-3.55860815192219
0.01	-3.65430176007411
0.015	-3.515232746641961
0.02	-3.6597626215840706
0.025	-3.5328682260305704
0.03	-3.5651250578971707
0.035	-3.4448622047244104
0.04	-3.57171491431218
0.045	-3.40393469198703
0.05	-3.5145368226030604
0.055	-3.5428427512737395
0.06	-3.41617183881427
0.065	-3.53950671607226
0.07	-3.36808476146364
0.075	-3.4510085687818393
0.08	-3.390940250115789
0.085	-3.51390574339972
0.09	-3.3759217230199203
0.095	-3.5411614173228294
0.1	-3.4526899027327502
0.105	-3.3657781380268603
0.11	-3.47771769337656
0.115	-3.32917670217693
0.12	-3.4706380268642896
0.125	-3.41135479388606
0.13	-3.4936509958314
0.135	-3.361733441408061
0.14	-3.4972904122278803
0.145	-3.3366245947197806
0.15	-3.35168480778138
0.155	-3.44206692913386
0.16	-3.29945345067161
0.165	-3.4462424733673
0.17	-3.3216257526632695
0.175	-3.3679747568318703
0.18	-3.25418480778138
0.185	-3.3838154238073197
0.19	-3.2138200555812895
0.195	-3.3243723946271397
0.2	-3.3258742473367304
0.205	-3.20256947660954
0.21	-3.3275115794349204
0.215	-3.1608047707271902
0.22	-3.26268758684576
0.225	-3.2125937934228803
0.23	-3.3254689671144
0.235	-3.18218619731357
0.24	-3.3413200555812894
0.245	-3.2251980083371903
0.25	-3.15463987957388
0.255	-3.2637783696155602
0.26	-3.1208406669754494
0.265	-3.28164312181565
0.27	-3.20232283464567
0.275	-3.2611035201482204
0.28	-3.1225486336266806
0.285	-3.24491662806855
0.29	-3.0571757758221403
0.295	-3.09936081519222
0.3	-3.16590088003705
0.305	-3.02396132468735
0.31	-3.15355951829551
0.315	-2.99875057897175
0.32	-3.0418619731357106
0.325	-2.94266327003242
0.33	-3.0659830940250106
0.335	-2.90781380268643
0.34	-3.0411591014358503
0.345	-3.01580708661417
0.35	-2.8945541917554403
0.355	-3.0132109773043103
0.36	-2.8423946271422
0.365	-2.95188050023159
0.37	-2.89876794812413
0.375	-3.0045530338119497
0.38	-2.8581264474293606
0.385	-3.0098610467809195
0.39	-2.8717681797128303
0.395	-2.82116373320982
0.4	-2.92239694302918
0.405	-2.77429828624363
0.41	-2.9288791106994
0.415	-2.83069476609541
0.42	-2.8760815192218603
0.425	-2.7391975451598
0.43	-2.86249189439555
0.435	-2.67497452524317
0.44	-2.74083835108847
0.445	-2.78828508568782
0.45	-2.65186892079667
0.455	-2.7723575729504404
0.46	-2.6013119499768402
0.465	-2.6547962019453397
0.47	-2.56714682723483
0.475	-2.6804515979620196
0.48	-2.5289543770264
0.485	-2.67712830013895
0.49	-2.62366373320982
0.495	-2.50320866141732
0.5	-2.6194302918017605
0.505	-2.44847383047707
0.51	-2.55488536359426
0.515	-2.50056623436776
0.52	-2.60003589624826
0.525	-2.4507109773043103
0.53	-2.59407711903659
0.535	-2.44720356646596
0.54	-2.39981588698471
0.545	-2.4925914775359
0.55	-2.33700787401575
0.555	-2.4811880500231602
0.56	-2.3745622973598897
0.565	-2.4054295970356603
0.57	-2.26245715609078
0.575	-2.37758684576193
0.58	-2.1833047707271898
0.585	-2.24516790180639
0.59	-2.28567160722557
0.595	-2.13777906438166
0.6	-2.24378068550255
0.605	-2.05528601204261
0.61	-2.0959634089856403
0.615	-1.99268642890227
0.62	-2.08966767021769
0.625	-1.9174478925428398
0.63	-2.0408788791107
0.635	-1.9467264937470998
0.64	-1.79803960166744
0.645	-1.8813362667901798
0.65	-1.96699050486336
0.655	-2.06907827698008
0.66	-2.0739416396479897
0.665	-2.0977466419638704
0.67	-1.8746468272348298
0.675	-1.6348853635942597
0.68	-1.3338258452987501
0.685	-1.1220111162575301
0.69	-1.0234760305697097
0.695	-0.7384740620657699
0.7	-0.6359162806855001
0.705	-0.23616871236683995
0.71	0.03299828624362999
0.715	0.44463200555812993
0.72	0.7827385363594299
0.725	1.3671873552570601
0.73	1.64174502084298
0.735	2.41117994441871
0.74	2.97467345993516
0.745	4.013239925891621
0.75	5.016443955534971
0.755	6.416389532190831
0.76	7.77820866141732
0.765	9.819683881426592
0.77	11.574703566466
0.775	14.126910606762399
0.78	16.7901806391848
0.785	19.916628068550303
0.79	23.506252894858697
0.795	28.0222325150533
0.8	33.1171838814266
0.805	39.2542843909217
0.81	46.4335340435387
0.815	54.1917554423344
0.82	63.339509031959196
0.825	73.5294117647059
0.83	84.8772579898101
0.835	97.3830477072719
0.84	111.97313571097698
0.845	127.72116720704
0.85	145.20611394164
0.855	164.31218156554
0.86	185.15516442797602
0.865	207.27188513200602
0.87	231.12552107457196
0.875	256.716072255674
0.88	283.58036127837
0.885	312.413154238073
0.89	342.751273737842
0.895	373.89995368225993
0.9	406.09078276980097
