V	J
-0.1	-133.395090319592
-0.095	-133.395090319592
-0.09	-133.279295970357
-0.085	-133.047707271885
-0.08	-133.163501621121
-0.075	-133.163501621121
-0.07	-133.163501621121
-0.065	-133.163501621121
-0.06	-133.279295970357
-0.055	-133.163501621121
-0.05	-133.163501621121
-0.045	-133.047707271885
-0.04	-132.816118573414
-0.035	-132.816118573414
-0.03	-132.70032422417802
-0.025	-132.816118573414
-0.02	-132.93191292264902
-0.015	-133.047707271885
-0.01	-132.93191292264902
-0.005	-133.047707271885
0.0	-132.93191292264902
0.005	-132.816118573414
0.01	-132.816118573414
0.015	-132.58452987494198
0.02	-132.816118573414
0.025	-132.70032422417802
0.03	-132.816118573414
0.035	-132.816118573414
0.04	-132.93191292264902
0.045	-132.70032422417802
0.05	-132.816118573414
0.055	-132.70032422417802
0.06	-132.468735525706
0.065	-132.468735525706
0.07	-132.35294117647098
0.075	-132.468735525706
0.08	-132.58452987494198
0.085	-132.70032422417802
0.09	-132.58452987494198
0.095	-132.70032422417802
0.1	-132.468735525706
0.105	-132.237146827235
0.11	-132.237146827235
0.115	-132.12135247799898
0.12	-132.237146827235
0.125	-132.12135247799898
0.13	-132.35294117647098
0.135	-132.237146827235
0.14	-132.237146827235
0.145	-132.005558128763
0.15	-132.005558128763
0.155	-131.889763779528
0.16	-131.658175081056
0.165	-131.773969430292
0.17	-131.658175081056
0.175	-131.773969430292
0.18	-131.658175081056
0.185	-131.773969430292
0.19	-131.54238073182
0.195	-131.54238073182
0.2	-131.426586382585
0.205	-131.194997684113
0.21	-131.310792033349
0.215	-131.194997684113
0.22	-131.310792033349
0.225	-131.310792033349
0.23	-131.54238073182
0.235	-131.426586382585
0.24	-131.54238073182
0.245	-131.310792033349
0.25	-131.079203334877
0.255	-130.96340898564102
0.26	-130.847614636406
0.265	-130.96340898564102
0.27	-130.96340898564102
0.275	-131.194997684113
0.28	-131.079203334877
0.285	-131.194997684113
0.29	-130.96340898564102
0.295	-130.96340898564102
0.3	-130.96340898564102
0.305	-130.73182028717002
0.31	-130.847614636406
0.315	-130.73182028717002
0.32	-130.847614636406
0.325	-130.73182028717002
0.33	-130.847614636406
0.335	-130.61602593793398
0.34	-130.61602593793398
0.345	-130.500231588698
0.35	-130.268642890227
0.355	-130.268642890227
0.36	-130.152848540991
0.365	-130.268642890227
0.37	-130.268642890227
0.375	-130.384437239463
0.38	-130.268642890227
0.385	-130.268642890227
0.39	-130.037054191755
0.395	-129.80546549328403
0.4	-129.80546549328403
0.405	-129.689671144048
0.41	-129.80546549328403
0.415	-129.80546549328403
0.42	-129.92125984252002
0.425	-129.80546549328403
0.43	-129.92125984252002
0.435	-129.689671144048
0.44	-129.57387679481198
0.445	-129.57387679481198
0.45	-129.342288096341
0.455	-129.458082445577
0.46	-129.342288096341
0.465	-129.458082445577
0.47	-129.342288096341
0.475	-129.458082445577
0.48	-129.226493747105
0.485	-129.226493747105
0.49	-128.994905048634
0.495	-128.76331635016197
0.5	-128.76331635016197
0.505	-128.531727651691
0.51	-128.531727651691
0.515	-128.531727651691
0.52	-128.531727651691
0.525	-128.300138953219
0.53	-128.300138953219
0.535	-128.068550254748
0.54	-127.83696155627598
0.545	-127.72116720704
0.55	-127.489578508569
0.555	-127.605372857805
0.56	-127.605372857805
0.565	-127.605372857805
0.57	-127.489578508569
0.575	-127.489578508569
0.58	-127.257989810097
0.585	-127.026401111626
0.59	-126.91060676238999
0.595	-126.67901806391802
0.6	-126.67901806391802
0.605	-126.563223714683
0.61	-126.563223714683
0.615	-126.44742936544701
0.62	-126.44742936544701
0.625	-125.984251968504
0.63	-125.86845761926801
0.635	-125.636868920797
0.64	-125.17369152385399
0.645	-125.057897174618
0.65	-124.710514126911
0.655	-124.59471977767501
0.66	-124.247336729968
0.665	-124.015748031496
0.67	-123.55257063455299
0.675	-123.205187586846
0.68	-122.510421491431
0.685	-121.81565539601701
0.69	-121.23668364983801
0.695	-120.426123205188
0.7	-119.847151459009
0.705	-119.036591014358
0.71	-118.34182491894401
0.715	-117.41547012505802
0.72	-116.48911533117199
0.725	-114.983788791107
0.73	-113.362667901806
0.735	-111.50995831403401
0.74	-109.30986567855501
0.745	-106.878184344604
0.75	-104.33070866141699
0.755	-101.20426123205199
0.76	-97.9620194534507
0.765	-94.14080592867072
0.77	-89.7406206577119
0.775	-84.5298749421028
0.78	-78.8559518295507
0.785	-72.1398795738768
0.79	-64.96062992125981
0.795	-56.6234367762853
0.8	-47.1283001389532
0.805	-36.7068087077351
0.81	-25.127373784159303
0.815	-12.1584066697545
0.82	2.31011811023622
0.825	17.9481241315424
0.83	35.317276516906
0.835	53.844372394627094
0.84	74.1083835108847
0.845	95.6461324687355
0.85	118.920796665123
0.855	143.23761000463202
0.86	169.870310328856
0.865	197.54515979620197
0.87	227.07271885132
0.875	257.758221398796
0.88	290.296433534044
0.885	323.761000463177
0.89	358.84668828161205
0.895	393.816581750811
0.9	431.56553960166707
