V	J
-0.1	-22.232515053265402
-0.095	-22.927281148679903
-0.09	-22.695692450208398
-0.085	-22.695692450208398
-0.08	-22.695692450208398
-0.075	-22.5798981009727
-0.07	-22.695692450208398
-0.065	-22.5798981009727
-0.06	-22.695692450208398
-0.055	-22.5798981009727
-0.05	-22.811486799444197
-0.045	-22.5798981009727
-0.04	-22.811486799444197
-0.035	-22.695692450208398
-0.03	-22.5798981009727
-0.025	-22.695692450208398
-0.02	-22.4641037517369
-0.015	-22.695692450208398
-0.01	-22.5798981009727
-0.005	-22.695692450208398
0.0	-22.5798981009727
0.005	-22.695692450208398
0.01	-22.4641037517369
0.015	-22.5798981009727
0.02	-22.4641037517369
0.025	-22.3483094025012
0.03	-22.4641037517369
0.035	-22.3483094025012
0.04	-22.4641037517369
0.045	-22.4641037517369
0.05	-22.5798981009727
0.055	-22.4641037517369
0.06	-22.5798981009727
0.065	-22.4641037517369
0.07	-22.3483094025012
0.075	-22.4641037517369
0.08	-22.3483094025012
0.085	-22.4641037517369
0.09	-22.3483094025012
0.095	-22.4641037517369
0.1	-22.3483094025012
0.105	-22.4641037517369
0.11	-22.232515053265402
0.115	-22.3483094025012
0.12	-22.3483094025012
0.125	-22.232515053265402
0.13	-22.3483094025012
0.135	-22.232515053265402
0.14	-22.232515053265402
0.145	-22.232515053265402
0.15	-22.3483094025012
0.155	-22.232515053265402
0.16	-22.3483094025012
0.165	-22.232515053265402
0.17	-22.1167207040296
0.175	-22.232515053265402
0.18	-22.1167207040296
0.185	-22.232515053265402
0.19	-22.1167207040296
0.195	-22.232515053265402
0.2	-22.1167207040296
0.205	-22.232515053265402
0.21	-22.0009263547939
0.215	-22.0009263547939
0.22	-22.1167207040296
0.225	-21.885132005558102
0.23	-22.0009263547939
0.235	-21.885132005558102
0.24	-22.0009263547939
0.245	-21.885132005558102
0.25	-22.0009263547939
0.255	-21.885132005558102
0.26	-22.0009263547939
0.265	-21.885132005558102
0.27	-21.7693376563224
0.275	-21.885132005558102
0.28	-21.7693376563224
0.285	-21.885132005558102
0.29	-21.7693376563224
0.295	-21.885132005558102
0.3	-21.7693376563224
0.305	-21.885132005558102
0.31	-21.7693376563224
0.315	-21.7693376563224
0.32	-21.7693376563224
0.325	-21.653543307086597
0.33	-21.7693376563224
0.335	-21.653543307086597
0.34	-21.7693376563224
0.345	-21.653543307086597
0.35	-21.7693376563224
0.355	-21.653543307086597
0.36	-21.653543307086597
0.365	-21.653543307086597
0.37	-21.5377489578509
0.375	-21.653543307086597
0.38	-21.4219546086151
0.385	-21.5377489578509
0.39	-21.4219546086151
0.395	-21.5377489578509
0.4	-21.4219546086151
0.405	-21.5377489578509
0.41	-21.4219546086151
0.415	-21.4219546086151
0.42	-21.4219546086151
0.425	-21.306160259379297
0.43	-21.5377489578509
0.435	-21.4219546086151
0.44	-21.4219546086151
0.445	-21.306160259379297
0.45	-21.4219546086151
0.455	-21.306160259379297
0.46	-21.306160259379297
0.465	-21.306160259379297
0.47	-21.1903659101436
0.475	-21.306160259379297
0.48	-21.1903659101436
0.485	-21.1903659101436
0.49	-21.0745715609078
0.495	-21.1903659101436
0.5	-21.0745715609078
0.505	-21.1903659101436
0.51	-21.0745715609078
0.515	-20.9587772116721
0.52	-21.0745715609078
0.525	-20.842982862436298
0.53	-20.9587772116721
0.535	-20.9587772116721
0.54	-21.0745715609078
0.545	-20.842982862436298
0.55	-20.9587772116721
0.555	-20.842982862436298
0.56	-20.727188513200602
0.565	-20.842982862436298
0.57	-20.727188513200602
0.575	-20.842982862436298
0.58	-20.727188513200602
0.585	-20.727188513200602
0.59	-20.611394163964796
0.595	-20.611394163964796
0.6	-20.3798054654933
0.605	-20.495599814728998
0.61	-20.495599814728998
0.615	-20.2640111162575
0.62	-20.3798054654933
0.625	-20.1482167670218
0.63	-20.2640111162575
0.635	-20.1482167670218
0.64	-20.1482167670218
0.645	-19.916628068550303
0.65	-20.032422417786
0.655	-19.916628068550303
0.66	-19.6850393700787
0.665	-19.6850393700787
0.67	-19.4534506716072
0.675	-19.4534506716072
0.68	-19.221861973135702
0.685	-19.106067623900003
0.69	-18.8744789254284
0.695	-18.7586845761927
0.7	-18.2955071792497
0.705	-17.9481241315424
0.71	-17.6007410838351
0.715	-17.1375636868921
0.72	-16.674386289949
0.725	-15.979620194534498
0.73	-15.516442797591498
0.735	-14.5900880037054
0.74	-13.895321908290901
0.745	-12.6215840666976
0.75	-11.4480685502548
0.755	-9.95048286243631
0.76	-8.01042728114868
0.765	-5.94698818897638
0.77	-3.3355511811023604
0.775	-0.5598557202408501
0.78	2.85191292264937
0.785	6.542572950440021
0.79	11.2838374247337
0.795	16.211208893006
0.8	22.3483094025012
0.805	29.1801760074108
0.81	37.1699861046781
0.815	46.086150995831396
0.82	56.6234367762853
0.825	67.9712830013895
0.83	80.7086614173228
0.835	94.8355720240852
0.84	110.46780917091199
0.845	127.605372857805
0.85	146.364057433997
0.855	166.97545159796198
0.86	188.97637795275602
0.865	212.830013895322
0.87	238.188976377953
0.875	265.16905974988396
0.88	293.422880963409
0.885	323.645206113942
0.89	355.025474756832
0.895	386.52153774895794
0.9	421.259842519685
