V	J
-0.1	-214.335340435387
-0.095	-215.956461324687
-0.09	-215.26169522927296
-0.085	-215.49328392774402
-0.08	-215.37748957850903
-0.075	-215.60907827698003
-0.07	-215.26169522927296
-0.065	-215.030106530801
-0.06	-215.030106530801
-0.055	-214.914312181566
-0.05	-215.14590088003698
-0.045	-215.26169522927296
-0.04	-215.37748957850903
-0.035	-215.37748957850903
-0.03	-215.49328392774402
-0.025	-215.14590088003698
-0.02	-215.030106530801
-0.015	-214.914312181566
-0.01	-214.68272348309398
-0.005	-214.68272348309398
0.0	-214.56692913385803
0.005	-214.79851783233
0.01	-214.68272348309398
0.015	-214.914312181566
0.02	-214.68272348309398
0.025	-214.68272348309398
0.03	-214.451134784622
0.035	-214.103751736915
0.04	-214.103751736915
0.045	-213.872163038444
0.05	-214.103751736915
0.055	-214.103751736915
0.06	-214.21954608615098
0.065	-214.103751736915
0.07	-214.21954608615098
0.075	-213.987957387679
0.08	-213.872163038444
0.085	-213.756368689208
0.09	-213.640574339972
0.095	-213.872163038444
0.1	-213.872163038444
0.105	-214.103751736915
0.11	-214.103751736915
0.115	-214.21954608615098
0.12	-213.872163038444
0.125	-213.872163038444
0.13	-213.756368689208
0.135	-213.524779990736
0.14	-213.640574339972
0.145	-213.640574339972
0.15	-213.872163038444
0.155	-213.872163038444
0.16	-214.103751736915
0.165	-213.872163038444
0.17	-213.872163038444
0.175	-213.640574339972
0.18	-213.29319129226502
0.185	-213.29319129226502
0.19	-213.17739694302898
0.195	-213.40898564150103
0.2	-213.40898564150103
0.205	-213.640574339972
0.21	-213.524779990736
0.215	-213.524779990736
0.22	-213.29319129226502
0.225	-213.061602593793
0.23	-212.945808244558
0.235	-212.714219546086
0.24	-212.945808244558
0.245	-212.945808244558
0.25	-213.061602593793
0.255	-212.945808244558
0.26	-213.061602593793
0.265	-212.714219546086
0.27	-212.482630847615
0.275	-212.366836498379
0.28	-212.135247799907
0.285	-212.251042149143
0.29	-212.135247799907
0.295	-212.251042149143
0.3	-212.251042149143
0.305	-212.366836498379
0.31	-212.135247799907
0.315	-212.135247799907
0.32	-211.903659101436
0.325	-211.556276053729
0.33	-211.672070402964
0.335	-211.44048170449298
0.34	-211.672070402964
0.345	-211.7878647522
0.35	-212.019453450672
0.355	-211.903659101436
0.36	-212.019453450672
0.365	-211.672070402964
0.37	-211.44048170449298
0.375	-211.32468735525697
0.38	-211.20889300602101
0.385	-211.32468735525697
0.39	-211.32468735525697
0.395	-211.556276053729
0.4	-211.32468735525697
0.405	-211.44048170449298
0.41	-211.093098656786
0.415	-210.861509958314
0.42	-210.745715609078
0.425	-210.514126910607
0.43	-210.514126910607
0.435	-210.514126910607
0.44	-210.629921259843
0.445	-210.629921259843
0.45	-210.745715609078
0.455	-210.398332561371
0.46	-210.282538212135
0.465	-210.050949513664
0.47	-209.70356646595602
0.475	-209.70356646595602
0.48	-209.35618341824897
0.485	-209.471977767485
0.49	-209.471977767485
0.495	-209.587772116721
0.5	-209.35618341824897
0.505	-209.35618341824897
0.51	-208.893006021306
0.515	-208.66141732283498
0.52	-208.429828624363
0.525	-208.19823992589198
0.53	-208.31403427512697
0.535	-208.19823992589198
0.54	-208.19823992589198
0.545	-208.082445576656
0.55	-208.082445576656
0.555	-207.73506252894896
0.56	-207.38767948124098
0.565	-207.27188513200602
0.57	-206.924502084298
0.575	-206.924502084298
0.58	-206.69291338582698
0.585	-206.69291338582698
0.59	-206.461324687355
0.595	-206.461324687355
0.6	-205.998147290412
0.605	-205.76655859194102
0.61	-205.303381194998
0.615	-204.840203798055
0.62	-204.608615099583
0.625	-204.261232051876
0.63	-204.261232051876
0.635	-204.02964335340397
0.64	-203.79805465493297
0.645	-203.33487725799
0.65	-203.10328855951803
0.655	-202.40852246410398
0.66	-201.713756368689
0.665	-201.25057897174602
0.67	-200.555812876332
0.675	-200.09263547938897
0.68	-199.282075034738
0.685	-198.70310328856
0.69	-197.77674849467303
0.695	-196.85039370078698
0.7	-195.46086150995802
0.705	-194.07132931912898
0.71	-192.68179712830002
0.715	-190.71329319129202
0.72	-189.092172301992
0.725	-187.12366836498398
0.73	-185.15516442797602
0.735	-182.723483094025
0.74	-180.176007410838
0.745	-176.93376563223697
0.75	-173.459935155164
0.755	-169.29133858267699
0.76	-164.54377026401102
0.765	-159.564613246874
0.77	-153.774895785086
0.775	-147.637795275591
0.78	-140.45854562297401
0.785	-132.35294117647098
0.79	-123.32098193608198
0.795	-113.362667901806
0.8	-102.01482167670198
0.805	-89.7406206577119
0.81	-76.54006484483558
0.815	-61.718388142658604
0.82	-45.507179249652594
0.825	-29.411764705882398
0.83	-10.268038443724002
0.835	10.1000138953219
0.84	32.19082908754049
0.845	55.2339045854562
0.85	81.63501621120889
0.855	107.57295044001901
0.86	135.595182955072
0.865	164.427975914775
0.87	195.345067160723
0.875	227.304307549792
0.88	260.884668828161
0.885	295.507179249653
0.89	331.86660490967995
0.895	367.878647522001
0.9	406.553960166744
