V	J
-0.1	-9.05887679481241
-0.095	-9.08878994905049
-0.09	-9.061401111625749
-0.085	-8.991511116257529
-0.08	-9.10473135710977
-0.075	-8.962424733673
-0.07	-9.12806276053728
-0.065	-9.057296201945341
-0.06	-9.129254284390921
-0.055	-9.00356415006948
-0.05	-9.141692913385821
-0.045	-8.96450440018527
-0.04	-9.01183881426586
-0.035	-9.086036359425659
-0.03	-8.95356183418249
-0.025	-9.0877582213988
-0.02	-8.9354689671144
-0.015	-9.00085572024085
-0.01	-8.904261232051878
-0.005	-9.03119152385363
0.0	-8.88179249652617
0.005	-9.023337193144972
0.01	-8.958014126910609
0.015	-8.88270495599815
0.02	-8.98537633163502
0.025	-8.83485757295044
0.03	-8.987928439092169
0.035	-8.91140458545623
0.04	-8.975871931449742
0.045	-8.844975683186659
0.05	-8.97769337656322
0.055	-8.79632468735526
0.06	-8.83550370541918
0.065	-8.907114404817042
0.07	-8.761097730430748
0.075	-8.89635132005558
0.08	-8.75567739694303
0.085	-8.81177396943029
0.09	-8.719952524316808
0.095	-8.85651690597499
0.1	-8.70438165817508
0.105	-8.841721861973129
0.11	-8.8144847151459
0.115	-8.69841245947198
0.12	-8.81840435386753
0.125	-8.65591477535896
0.13	-8.7716512274201
0.135	-8.7283186660491
0.14	-8.84264590088004
0.145	-8.70668943955535
0.15	-8.8611973135711
0.155	-8.72565539601667
0.16	-8.67193029180176
0.165	-8.76834529874942
0.17	-8.618898795738769
0.175	-8.7747579898101
0.18	-8.69378068550255
0.185	-8.746308476146359
0.19	-8.614316813339508
0.195	-8.743457619268181
0.2	-8.553817739694301
0.205	-8.605054423344141
0.21	-8.65948008337193
0.215	-8.51842519685039
0.22	-8.64332329782307
0.225	-8.489388605836032
0.23	-8.53944766095414
0.235	-8.45374363131079
0.24	-8.575918249189442
0.245	-8.421542380731818
0.25	-8.55806855025475
0.255	-8.51032422417786
0.26	-8.38660722556739
0.265	-8.500627605372859
0.27	-8.334352709587769
0.275	-8.448985641500691
0.28	-8.40045622973599
0.285	-8.51078276980083
0.29	-8.37221514590088
0.295	-8.52217693376563
0.3	-8.38212598425197
0.305	-8.355094951366372
0.31	-8.45466072255674
0.315	-8.307101667438628
0.32	-8.46656206577119
0.325	-8.373985641500699
0.33	-8.410555812876328
0.335	-8.28411069939787
0.34	-8.41737494210283
0.345	-8.23067739694303
0.35	-8.300426123205192
0.355	-8.34853288559518
0.36	-8.21201250578972
0.365	-8.3331056044465
0.37	-8.166339740620659
0.375	-8.23214335340435
0.38	-8.154893469198699
0.385	-8.269400185270959
0.39	-8.1148784159333
0.395	-8.25902269569245
0.4	-8.18616720704029
0.405	-8.079240389069009
0.41	-8.18100393700787
0.415	-8.0206658175081
0.42	-8.14769800833719
0.425	-8.08710166743863
0.43	-8.171574803149609
0.435	-8.03853172765169
0.44	-8.17843098656785
0.445	-8.018849004168601
0.45	-8.00437471051413
0.455	-8.09216419638722
0.46	-7.93947660954145
0.465	-8.08313339509032
0.47	-7.96773853635942
0.475	-7.9947579898101
0.48	-7.868253821213521
0.485	-7.99500578971746
0.49	-7.8115400648448405
0.495	-7.8989856415006905
0.5	-7.920093793422879
0.505	-7.774536822603059
0.51	-7.88245136637332
0.515	-7.69426586382585
0.52	-7.762703798054648
0.525	-7.69471746178787
0.53	-7.80810328855952
0.535	-7.652509263547941
0.54	-7.7951482167670205
0.545	-7.680951829550721
0.55	-7.57145206113942
0.555	-7.650302223251508
0.56	-7.481706808707729
0.565	-7.618364983788791
0.57	-7.538946271421959
0.575	-7.60602941176471
0.58	-7.46382931912923
0.585	-7.577117878647521
0.59	-7.37963061602594
0.595	-7.37813802686429
0.6	-7.428508568781841
0.605	-7.25968967114405
0.61	-7.372630847614642
0.615	-7.210793191292271
0.62	-7.228129921259839
0.625	-7.08912227883279
0.63	-7.18154701250579
0.635	-6.986701018990269
0.64	-7.075192218619729
0.645	-7.02140805928671
0.65	-6.852814960629921
0.655	-6.9150370541917505
0.66	-6.667163038443721
0.665	-6.678868689207969
0.67	-6.54908638258453
0.675	-6.56595877721167
0.68	-6.31727883279296
0.685	-6.3560398332561405
0.69	-6.087447892542839
0.695	-5.82888490041686
0.7	-5.68596688281612
0.705	-5.26500926354794
0.71	-5.135812876331629
0.715	-4.72289833256137
0.72	-4.40234136174155
0.725	-3.8151516905975
0.73	-3.3927825382121304
0.735	-2.50090319592404
0.74	-1.7610583603520102
0.745	-0.62034460398333
0.75	0.38198216767022003
0.755	1.77107225567392
0.76	3.2205743399722095
0.765	4.98970935618342
0.77	6.891034043538671
0.775	9.60479041222788
0.78	12.2742010189903
0.785	15.748031496063
0.79	19.6850393700787
0.795	24.432607688744802
0.8	29.759147753589602
0.805	36.1278369615563
0.81	43.422880963409
0.815	51.412691060676195
0.82	60.907827698008305
0.825	71.2135247799907
0.83	83.02454840203801
0.835	95.99351551644278
0.84	111.04678091709098
0.845	127.026401111626
0.85	144.974525243168
0.855	164.196387216304
0.86	185.386753126447
0.865	207.73506252894896
0.87	232.05187586845798
0.875	257.87401574803096
0.88	285.20148216767
0.885	314.49745252431694
0.89	344.95136637332104
0.895	376.33163501621107
0.9	408.40666975451603
