V	J
-0.1	-79.0875405280222
-0.095	-79.0875405280222
-0.09	-78.8559518295507
-0.085	-78.62436313107919
-0.08	-78.740157480315
-0.075	-78.5085687818434
-0.07	-78.740157480315
-0.065	-78.740157480315
-0.06	-78.8559518295507
-0.055	-78.740157480315
-0.05	-78.8559518295507
-0.045	-78.62436313107919
-0.04	-78.62436313107919
-0.035	-78.740157480315
-0.03	-78.62436313107919
-0.025	-78.740157480315
-0.02	-78.62436313107919
-0.015	-78.740157480315
-0.01	-78.740157480315
-0.005	-78.8559518295507
0.0	-78.62436313107919
0.005	-78.740157480315
0.01	-78.740157480315
0.015	-78.62436313107919
0.02	-78.62436313107919
0.025	-78.5085687818434
0.03	-78.62436313107919
0.035	-78.62436313107919
0.04	-78.740157480315
0.045	-78.62436313107919
0.05	-78.740157480315
0.055	-78.5085687818434
0.06	-78.5085687818434
0.065	-78.3927744326077
0.07	-78.27698008337191
0.075	-78.3927744326077
0.08	-78.27698008337191
0.085	-78.27698008337191
0.09	-78.1611857341362
0.095	-78.27698008337191
0.1	-78.0453913849004
0.105	-78.1611857341362
0.11	-78.0453913849004
0.115	-77.8138026864289
0.12	-77.9295970356647
0.125	-77.8138026864289
0.13	-77.9295970356647
0.135	-77.9295970356647
0.14	-78.0453913849004
0.145	-77.9295970356647
0.15	-78.1611857341362
0.155	-77.9295970356647
0.16	-77.8138026864289
0.165	-77.9295970356647
0.17	-77.6980083371931
0.175	-77.9295970356647
0.18	-77.8138026864289
0.185	-77.9295970356647
0.19	-77.8138026864289
0.195	-78.0453913849004
0.2	-77.8138026864289
0.205	-77.8138026864289
0.21	-77.8138026864289
0.215	-77.5822139879574
0.22	-77.6980083371931
0.225	-77.46641963872159
0.23	-77.6980083371931
0.235	-77.5822139879574
0.24	-77.8138026864289
0.245	-77.5822139879574
0.25	-77.8138026864289
0.255	-77.5822139879574
0.26	-77.46641963872159
0.265	-77.46641963872159
0.27	-77.3506252894858
0.275	-77.46641963872159
0.28	-77.46641963872159
0.285	-77.5822139879574
0.29	-77.46641963872159
0.295	-77.5822139879574
0.3	-77.3506252894858
0.305	-77.3506252894858
0.31	-77.2348309402501
0.315	-77.1190365910144
0.32	-77.2348309402501
0.325	-77.1190365910144
0.33	-77.2348309402501
0.335	-77.1190365910144
0.34	-77.2348309402501
0.345	-77.1190365910144
0.35	-77.1190365910144
0.355	-77.00324224177861
0.36	-76.88744789254281
0.365	-77.00324224177861
0.37	-76.88744789254281
0.375	-77.00324224177861
0.38	-77.00324224177861
0.385	-77.1190365910144
0.39	-77.00324224177861
0.395	-77.1190365910144
0.4	-76.88744789254281
0.405	-76.7716535433071
0.41	-76.88744789254281
0.415	-76.6558591940713
0.42	-76.7716535433071
0.425	-76.6558591940713
0.43	-76.7716535433071
0.435	-76.6558591940713
0.44	-76.6558591940713
0.445	-76.42427049559981
0.45	-76.42427049559981
0.455	-76.42427049559981
0.46	-76.1926817971283
0.465	-76.1926817971283
0.47	-76.0768874478925
0.475	-76.1926817971283
0.48	-76.0768874478925
0.485	-76.1926817971283
0.49	-76.0768874478925
0.495	-76.1926817971283
0.5	-75.9610930986568
0.505	-75.845298749421
0.51	-75.845298749421
0.515	-75.72950440018529
0.52	-75.845298749421
0.525	-75.845298749421
0.53	-75.9610930986568
0.535	-75.72950440018529
0.54	-75.845298749421
0.545	-75.6137100509495
0.55	-75.49791570171381
0.555	-75.49791570171381
0.56	-75.2663270032422
0.565	-75.38212135247801
0.57	-75.15053265400651
0.575	-75.15053265400651
0.58	-75.03473830477071
0.585	-75.15053265400651
0.59	-74.918943955535
0.595	-74.918943955535
0.6	-74.6873552570634
0.605	-74.4557665585919
0.61	-74.4557665585919
0.615	-74.2241778601204
0.62	-74.3399722093562
0.625	-74.2241778601204
0.63	-74.2241778601204
0.635	-73.9925891616489
0.64	-73.9925891616489
0.645	-73.76100046317741
0.65	-73.4136174154701
0.655	-73.29782306623441
0.66	-72.9504400185271
0.665	-72.9504400185271
0.67	-72.60305697081981
0.675	-72.48726262158411
0.68	-72.1398795738768
0.685	-71.9082908754053
0.69	-71.3293191292265
0.695	-70.9819360815192
0.7	-70.4029643353404
0.705	-69.82399258916159
0.71	-69.2450208429829
0.715	-68.43446039833259
0.72	-67.6238999536822
0.725	-66.58175081056041
0.73	-65.6553960166744
0.735	-64.2658638258453
0.74	-62.992125984252
0.745	-61.255210745715594
0.75	-59.17091245947201
0.755	-56.8550254747568
0.76	-53.9601667438629
0.765	-51.065308012969
0.77	-47.591477535896196
0.775	-43.6544696618805
0.78	-39.0226956924502
0.785	-33.8119499768411
0.79	-27.443260768874502
0.795	-20.3798054654933
0.8	-12.853172765169099
0.805	-3.8467322834645703
0.81	6.05410722556739
0.815	17.3691523853636
0.82	29.6433534043539
0.825	44.2334414080593
0.83	59.634089856414995
0.835	76.54006484483558
0.84	94.60398332561368
0.845	114.75220009263501
0.85	135.942566002779
0.855	158.98564150069498
0.86	183.534043538675
0.865	209.81936081519197
0.87	237.610004631774
0.875	266.905974988421
0.88	297.93886058360397
0.885	330.129689671144
0.89	364.057433997221
0.895	396.82723483094003
0.9	435.15516442797605
