V	J
-0.1	-106.762389995368
-0.095	-106.29921259842499
-0.09	-106.29921259842499
-0.085	-106.183418249189
-0.08	-106.06762389995401
-0.075	-106.06762389995401
-0.07	-105.951829550718
-0.065	-106.06762389995401
-0.06	-106.183418249189
-0.055	-106.29921259842499
-0.05	-106.183418249189
-0.045	-106.29921259842499
-0.04	-106.06762389995401
-0.035	-106.06762389995401
-0.03	-106.06762389995401
-0.025	-105.951829550718
-0.02	-106.183418249189
-0.015	-106.06762389995401
-0.01	-106.183418249189
-0.005	-106.183418249189
0.0	-106.29921259842499
0.005	-106.06762389995401
0.01	-106.06762389995401
0.015	-105.951829550718
0.02	-105.836035201482
0.025	-105.836035201482
0.03	-105.720240852246
0.035	-105.836035201482
0.04	-105.836035201482
0.045	-105.951829550718
0.05	-105.720240852246
0.055	-105.836035201482
0.06	-105.604446503011
0.065	-105.488652153775
0.07	-105.488652153775
0.075	-105.25706345530301
0.08	-105.372857804539
0.085	-105.372857804539
0.09	-105.372857804539
0.095	-105.372857804539
0.1	-105.488652153775
0.105	-105.25706345530301
0.11	-105.372857804539
0.115	-105.372857804539
0.12	-105.25706345530301
0.125	-105.372857804539
0.13	-105.141269106068
0.135	-105.372857804539
0.14	-105.372857804539
0.145	-105.488652153775
0.15	-105.372857804539
0.155	-105.604446503011
0.16	-105.372857804539
0.165	-105.25706345530301
0.17	-105.372857804539
0.175	-105.141269106068
0.18	-105.372857804539
0.185	-105.25706345530301
0.19	-105.488652153775
0.195	-105.25706345530301
0.2	-105.372857804539
0.205	-105.141269106068
0.21	-105.141269106068
0.215	-105.025474756832
0.22	-104.90968040759599
0.225	-105.025474756832
0.23	-104.90968040759599
0.235	-104.90968040759599
0.24	-104.90968040759599
0.245	-105.025474756832
0.25	-104.90968040759599
0.255	-105.025474756832
0.26	-104.79388605836
0.265	-104.678091709125
0.27	-104.678091709125
0.275	-104.446503010653
0.28	-104.562297359889
0.285	-104.562297359889
0.29	-104.678091709125
0.295	-104.446503010653
0.3	-104.562297359889
0.305	-104.33070866141699
0.31	-104.33070866141699
0.315	-104.33070866141699
0.32	-104.09911996294599
0.325	-104.33070866141699
0.33	-104.33070866141699
0.335	-104.446503010653
0.34	-104.33070866141699
0.345	-104.562297359889
0.35	-104.214914312182
0.355	-104.214914312182
0.36	-104.214914312182
0.365	-103.86753126447401
0.37	-103.98332561371
0.375	-103.751736915239
0.38	-103.86753126447401
0.385	-103.751736915239
0.39	-103.98332561371
0.395	-103.751736915239
0.4	-103.86753126447401
0.405	-103.63594256600301
0.41	-103.52014821676698
0.415	-103.52014821676698
0.42	-103.28855951829499
0.425	-103.404353867531
0.43	-103.28855951829499
0.435	-103.404353867531
0.44	-103.28855951829499
0.445	-103.28855951829499
0.45	-103.056970819824
0.455	-102.941176470588
0.46	-102.941176470588
0.465	-102.709587772117
0.47	-102.82538212135199
0.475	-102.709587772117
0.48	-102.709587772117
0.485	-102.59379342288099
0.49	-102.709587772117
0.495	-102.47799907364498
0.5	-102.47799907364498
0.505	-102.362204724409
0.51	-102.130616025938
0.515	-102.24641037517401
0.52	-102.130616025938
0.525	-102.24641037517401
0.53	-102.130616025938
0.535	-102.362204724409
0.54	-102.130616025938
0.545	-102.24641037517401
0.55	-102.130616025938
0.555	-101.899027327466
0.56	-102.01482167670198
0.565	-101.783232978231
0.57	-101.899027327466
0.575	-101.783232978231
0.58	-101.783232978231
0.585	-101.55164427975902
0.59	-101.667438628995
0.595	-101.32005558128799
0.6	-101.20426123205199
0.605	-101.088466882816
0.61	-100.85687818434499
0.615	-100.74108383510901
0.62	-100.50949513663699
0.625	-100.50949513663699
0.63	-100.277906438166
0.635	-100.277906438166
0.64	-100.046317739694
0.645	-99.9305233904586
0.65	-99.46734599351551
0.655	-99.1199629458082
0.66	-98.88837424733669
0.665	-98.42519685039369
0.67	-98.42519685039369
0.675	-98.07781380268639
0.68	-97.84622510421491
0.685	-97.26725335803609
0.69	-96.9198703103288
0.695	-96.2251042149143
0.7	-95.53033811949972
0.705	-94.95136637332101
0.71	-94.0250115794349
0.715	-93.33024548402038
0.72	-92.17230199166279
0.725	-91.01435849930519
0.73	-89.62482630847609
0.735	-88.35108846688279
0.74	-86.4983788791107
0.745	-84.76146364057429
0.75	-82.44557665585918
0.755	-79.5507179249653
0.76	-76.42427049559981
0.765	-72.83464566929129
0.77	-69.0134321445113
0.775	-64.4974525243168
0.78	-59.518295507179204
0.785	-53.4969893469199
0.79	-46.7809170912459
0.795	-38.7911069939787
0.8	-29.9907364520611
0.805	-20.1482167670218
0.81	-9.28254863362668
0.815	2.7156820287170005
0.82	16.211208893006
0.825	30.9170912459472
0.83	47.475683186660504
0.835	65.3080129689671
0.84	84.8772579898101
0.845	105.488652153775
0.85	128.068550254748
0.855	151.690597498842
0.86	177.165354330709
0.865	204.14543770264
0.87	232.862436313108
0.875	262.968967114405
0.88	294.696618805002
0.885	327.81380268642897
0.89	362.204724409449
0.895	397.29041222788294
0.9	433.18666049096794
