V	J
-0.1	-13.779527559055097
-0.095	-14.5900880037054
-0.09	-14.358499305233899
-0.085	-14.4742936544697
-0.08	-14.358499305233899
-0.075	-14.2427049559982
-0.07	-14.358499305233899
-0.065	-14.2427049559982
-0.06	-14.358499305233899
-0.055	-14.358499305233899
-0.05	-14.4742936544697
-0.045	-14.2427049559982
-0.04	-14.4742936544697
-0.035	-14.358499305233899
-0.03	-14.2427049559982
-0.025	-14.358499305233899
-0.02	-14.2427049559982
-0.015	-14.358499305233899
-0.01	-14.2427049559982
-0.005	-14.358499305233899
0.0	-14.2427049559982
0.005	-14.358499305233899
0.01	-14.2427049559982
0.015	-14.2427049559982
0.02	-14.2427049559982
0.025	-14.126910606762399
0.03	-14.2427049559982
0.035	-14.126910606762399
0.04	-14.2427049559982
0.045	-14.126910606762399
0.05	-14.2427049559982
0.055	-14.126910606762399
0.06	-14.2427049559982
0.065	-14.126910606762399
0.07	-14.126910606762399
0.075	-14.2427049559982
0.08	-14.011116257526602
0.085	-14.2427049559982
0.09	-14.126910606762399
0.095	-14.126910606762399
0.1	-14.011116257526602
0.105	-14.126910606762399
0.11	-14.011116257526602
0.115	-14.126910606762399
0.12	-14.126910606762399
0.125	-14.011116257526602
0.13	-14.126910606762399
0.135	-13.895321908290901
0.14	-14.011116257526602
0.145	-13.895321908290901
0.15	-14.011116257526602
0.155	-13.895321908290901
0.16	-14.126910606762399
0.165	-14.011116257526602
0.17	-13.895321908290901
0.175	-14.011116257526602
0.18	-13.895321908290901
0.185	-14.011116257526602
0.19	-13.895321908290901
0.195	-14.011116257526602
0.2	-13.895321908290901
0.205	-14.011116257526602
0.21	-13.895321908290901
0.215	-13.895321908290901
0.22	-13.895321908290901
0.225	-13.779527559055097
0.23	-13.895321908290901
0.235	-13.779527559055097
0.24	-13.779527559055097
0.245	-13.779527559055097
0.25	-13.895321908290901
0.255	-13.6637332098194
0.26	-13.779527559055097
0.265	-13.779527559055097
0.27	-13.6637332098194
0.275	-13.779527559055097
0.28	-13.6637332098194
0.285	-13.6637332098194
0.29	-13.6637332098194
0.295	-13.779527559055097
0.3	-13.6637332098194
0.305	-13.779527559055097
0.31	-13.6637332098194
0.315	-13.5479388605836
0.32	-13.6637332098194
0.325	-13.5479388605836
0.33	-13.6637332098194
0.335	-13.5479388605836
0.34	-13.6637332098194
0.345	-13.5479388605836
0.35	-13.6637332098194
0.355	-13.4321445113479
0.36	-13.5479388605836
0.365	-13.5479388605836
0.37	-13.4321445113479
0.375	-13.5479388605836
0.38	-13.316350162112098
0.385	-13.4321445113479
0.39	-13.316350162112098
0.395	-13.4321445113479
0.4	-13.316350162112098
0.405	-13.5479388605836
0.41	-13.4321445113479
0.415	-13.316350162112098
0.42	-13.4321445113479
0.425	-13.2005558128763
0.43	-13.4321445113479
0.435	-13.316350162112098
0.44	-13.4321445113479
0.445	-13.2005558128763
0.45	-13.316350162112098
0.455	-13.2005558128763
0.46	-13.2005558128763
0.465	-13.2005558128763
0.47	-13.0847614636406
0.475	-13.2005558128763
0.48	-12.968967114404801
0.485	-13.0847614636406
0.49	-12.968967114404801
0.495	-13.0847614636406
0.5	-12.853172765169099
0.505	-12.968967114404801
0.51	-12.968967114404801
0.515	-12.853172765169099
0.52	-12.853172765169099
0.525	-12.7373784159333
0.53	-12.853172765169099
0.535	-12.7373784159333
0.54	-12.853172765169099
0.545	-12.7373784159333
0.55	-12.853172765169099
0.555	-12.7373784159333
0.56	-12.6215840666976
0.565	-12.7373784159333
0.57	-12.6215840666976
0.575	-12.7373784159333
0.58	-12.6215840666976
0.585	-12.7373784159333
0.59	-12.505789717461798
0.595	-12.6215840666976
0.6	-12.389995368226002
0.605	-12.505789717461798
0.61	-12.505789717461798
0.615	-12.2742010189903
0.62	-12.389995368226002
0.625	-12.389995368226002
0.63	-12.505789717461798
0.635	-12.389995368226002
0.64	-12.6215840666976
0.645	-12.389995368226002
0.65	-12.505789717461798
0.655	-12.2742010189903
0.66	-12.2742010189903
0.665	-12.0426123205188
0.67	-12.0426123205188
0.675	-11.811023622047198
0.68	-11.695229272811499
0.685	-11.336534275127402
0.69	-11.1261672070403
0.695	-10.813398564150098
0.7	-10.452279990736502
0.705	-10.3124675775822
0.71	-9.84170912459472
0.715	-9.58993399722093
0.72	-9.10998147290412
0.725	-8.68244326076888
0.73	-7.90515400648448
0.735	-7.3721711440481705
0.74	-6.44458082445577
0.745	-5.41790296433534
0.75	-4.40965030106531
0.755	-2.9163188976378
0.76	-1.06887795275591
0.765	0.7456570171375599
0.77	2.8883395090319604
0.775	5.60367994441871
0.78	8.6086509958314
0.785	11.811023622047198
0.79	16.0954145437703
0.795	20.9587772116721
0.8	26.632700324224196
0.805	33.0013895321908
0.81	40.7596109309866
0.815	49.0968040759611
0.82	58.591940713293205
0.825	69.59240389069011
0.83	81.5192218619731
0.835	94.95136637332101
0.84	109.88883742473399
0.845	126.563223714683
0.85	144.511347846225
0.855	164.54377026401102
0.86	185.84993052339001
0.865	209.00880037054202
0.87	233.441408059287
0.875	259.72672533580396
0.88	287.28578045391396
0.885	316.58175081056
0.89	347.730430754979
0.895	378.30013895321895
0.9	413.27003242241796
