V	J
-0.1	-188.397406206577
-0.095	-188.97637795275602
-0.09	-188.62899490504898
-0.085	-188.744789254284
-0.08	-188.62899490504898
-0.075	-188.744789254284
-0.07	-188.397406206577
-0.065	-188.397406206577
-0.06	-188.28161185734103
-0.055	-188.05002315887003
-0.05	-188.16581750810602
-0.045	-188.16581750810602
-0.04	-188.28161185734103
-0.035	-188.28161185734103
-0.03	-188.513200555813
-0.025	-188.397406206577
-0.02	-188.397406206577
-0.015	-188.16581750810602
-0.01	-187.93422880963396
-0.005	-188.05002315887003
0.0	-187.93422880963396
0.005	-188.16581750810602
0.01	-188.16581750810602
0.015	-188.513200555813
0.02	-188.397406206577
0.025	-188.513200555813
0.03	-188.28161185734103
0.035	-188.16581750810602
0.04	-188.05002315887003
0.045	-187.818434460398
0.05	-188.05002315887003
0.055	-187.93422880963396
0.06	-188.05002315887003
0.065	-188.05002315887003
0.07	-188.16581750810602
0.075	-187.818434460398
0.08	-187.818434460398
0.085	-187.702640111163
0.09	-187.47105141269103
0.095	-187.47105141269103
0.1	-187.355257063455
0.105	-187.47105141269103
0.11	-187.47105141269103
0.115	-187.702640111163
0.12	-187.47105141269103
0.125	-187.47105141269103
0.13	-187.23946271422
0.135	-187.007874015748
0.14	-186.892079666512
0.145	-186.77628531727603
0.15	-187.007874015748
0.155	-187.12366836498398
0.16	-187.355257063455
0.165	-187.23946271422
0.17	-187.355257063455
0.175	-187.007874015748
0.18	-186.892079666512
0.185	-186.77628531727603
0.19	-186.66049096804102
0.195	-186.77628531727603
0.2	-186.77628531727603
0.205	-187.007874015748
0.21	-186.892079666512
0.215	-187.007874015748
0.22	-186.77628531727603
0.225	-186.77628531727603
0.23	-186.66049096804102
0.235	-186.428902269569
0.24	-186.428902269569
0.245	-186.313107920333
0.25	-186.544696618805
0.255	-186.544696618805
0.26	-186.77628531727603
0.265	-186.544696618805
0.27	-186.544696618805
0.275	-186.313107920333
0.28	-186.08151922186198
0.285	-186.08151922186198
0.29	-185.84993052339001
0.295	-186.08151922186198
0.3	-186.08151922186198
0.305	-186.19731357109802
0.31	-186.08151922186198
0.315	-186.08151922186198
0.32	-185.734136174155
0.325	-185.502547475683
0.33	-185.386753126447
0.335	-185.15516442797602
0.34	-185.270958777212
0.345	-185.270958777212
0.35	-185.386753126447
0.355	-185.270958777212
0.36	-185.386753126447
0.365	-185.03937007874
0.37	-184.923575729504
0.375	-184.80778138026898
0.38	-184.460398332561
0.385	-184.460398332561
0.39	-184.344603983326
0.395	-184.460398332561
0.4	-184.460398332561
0.405	-184.69198703103302
0.41	-184.460398332561
0.415	-184.460398332561
0.42	-184.22880963409
0.425	-183.88142658638301
0.43	-183.88142658638301
0.435	-183.64983788791102
0.44	-183.88142658638301
0.445	-183.88142658638301
0.45	-183.99722093561803
0.455	-183.88142658638301
0.46	-183.88142658638301
0.465	-183.64983788791102
0.47	-183.41824918944
0.475	-183.30245484020398
0.48	-183.070866141732
0.485	-183.18666049096802
0.49	-183.070866141732
0.495	-183.30245484020398
0.5	-183.18666049096802
0.505	-183.18666049096802
0.51	-182.83927744326104
0.515	-182.723483094025
0.52	-182.491894395553
0.525	-182.260305697082
0.53	-182.260305697082
0.535	-182.144511347846
0.54	-182.260305697082
0.545	-182.144511347846
0.55	-182.260305697082
0.555	-181.91292264937502
0.56	-181.91292264937502
0.565	-181.68133395090302
0.57	-181.333950903196
0.575	-181.21815655396
0.58	-180.870773506253
0.585	-180.986567855489
0.59	-180.870773506253
0.595	-180.870773506253
0.6	-180.639184807781
0.605	-180.52339045854603
0.61	-180.060213061603
0.615	-179.59703566466
0.62	-179.365446966188
0.625	-179.018063918481
0.63	-179.018063918481
0.635	-178.786475220009
0.64	-178.55488652153804
0.645	-178.091709124595
0.65	-177.860120426123
0.655	-177.281148679944
0.66	-176.702176933766
0.665	-176.12320518758702
0.67	-175.428439092172
0.675	-174.965261695229
0.68	-174.270495599815
0.685	-173.691523853636
0.69	-172.88096340898602
0.695	-172.18619731357103
0.7	-171.144048170449
0.705	-170.10189902732697
0.71	-168.712366836498
0.715	-166.97545159796198
0.72	-165.35433070866102
0.725	-163.50162112088898
0.73	-161.648911533117
0.735	-159.448818897638
0.74	-157.24872626215802
0.745	-154.238073182029
0.75	-150.995831403428
0.755	-147.058823529412
0.76	-142.658638258453
0.765	-138.02686428902302
0.77	-132.468735525706
0.775	-126.33163501621098
0.78	-119.73135710977301
0.785	-111.97313571097698
0.79	-103.404353867531
0.795	-93.79342288096339
0.8	-83.1403427512737
0.805	-71.2135247799907
0.81	-58.4761463640574
0.815	-44.0018527095878
0.82	-28.253821213524798
0.825	-11.2052732746642
0.83	7.404659564613249
0.835	27.443260768874502
0.84	49.0968040759611
0.845	71.7924965261695
0.85	96.3408985641501
0.855	122.16303844372402
0.86	149.83788791107
0.865	178.323297823066
0.87	209.124594719778
0.875	240.85224641037502
0.88	274.31681333950894
0.885	308.823529411765
0.89	345.067160722557
0.895	380.9634089856421
0.9	419.522927281149
