V	J
-0.1	-160.954145437703
-0.095	-160.838351088467
-0.09	-160.72255673923098
-0.085	-160.49096804076
-0.08	-160.60676238999503
-0.075	-160.49096804076
-0.07	-160.60676238999503
-0.065	-160.49096804076
-0.06	-160.72255673923098
-0.055	-160.49096804076
-0.05	-160.49096804076
-0.045	-160.375173691524
-0.04	-160.02779064381699
-0.035	-160.143584993052
-0.03	-160.02779064381699
-0.025	-160.143584993052
-0.02	-160.143584993052
-0.015	-160.375173691524
-0.01	-160.259379342288
-0.005	-160.375173691524
0.0	-160.143584993052
0.005	-160.02779064381699
0.01	-160.02779064381699
0.015	-159.796201945345
0.02	-160.02779064381699
0.025	-159.911996294581
0.03	-160.143584993052
0.035	-160.143584993052
0.04	-160.259379342288
0.045	-159.911996294581
0.05	-159.911996294581
0.055	-159.796201945345
0.06	-159.564613246874
0.065	-159.680407596109
0.07	-159.564613246874
0.075	-159.796201945345
0.08	-159.796201945345
0.085	-160.02779064381699
0.09	-159.796201945345
0.095	-159.911996294581
0.1	-159.680407596109
0.105	-159.448818897638
0.11	-159.448818897638
0.115	-159.21723019916598
0.12	-159.448818897638
0.125	-159.448818897638
0.13	-159.564613246874
0.135	-159.448818897638
0.14	-159.448818897638
0.145	-159.21723019916598
0.15	-159.10143584993102
0.155	-158.98564150069498
0.16	-158.75405280222301
0.165	-158.98564150069498
0.17	-158.869847151459
0.175	-158.98564150069498
0.18	-158.98564150069498
0.185	-159.10143584993102
0.19	-158.869847151459
0.195	-158.869847151459
0.2	-158.75405280222301
0.205	-158.522464103752
0.21	-158.638258452987
0.215	-158.522464103752
0.22	-158.75405280222301
0.225	-158.75405280222301
0.23	-158.869847151459
0.235	-158.638258452987
0.24	-158.75405280222301
0.245	-158.638258452987
0.25	-158.406669754516
0.255	-158.522464103752
0.26	-158.29087540528
0.265	-158.406669754516
0.27	-158.522464103752
0.275	-158.638258452987
0.28	-158.522464103752
0.285	-158.638258452987
0.29	-158.406669754516
0.295	-158.175081056044
0.3	-158.175081056044
0.305	-157.943492357573
0.31	-158.175081056044
0.315	-158.175081056044
0.32	-158.29087540528
0.325	-158.175081056044
0.33	-158.29087540528
0.335	-158.059286706809
0.34	-158.059286706809
0.345	-157.943492357573
0.35	-157.71190365910098
0.355	-157.827698008337
0.36	-157.71190365910098
0.365	-157.827698008337
0.37	-157.827698008337
0.375	-157.943492357573
0.38	-157.71190365910098
0.385	-157.71190365910098
0.39	-157.48031496063
0.395	-157.132931912923
0.4	-157.24872626215802
0.405	-157.017137563687
0.41	-157.132931912923
0.415	-157.132931912923
0.42	-157.24872626215802
0.425	-157.017137563687
0.43	-157.132931912923
0.435	-156.901343214451
0.44	-156.66975451598
0.445	-156.66975451598
0.45	-156.438165817508
0.455	-156.66975451598
0.46	-156.66975451598
0.465	-156.66975451598
0.47	-156.553960166744
0.475	-156.66975451598
0.48	-156.322371468272
0.485	-156.090782769801
0.49	-156.090782769801
0.495	-155.743399722094
0.5	-155.859194071329
0.505	-155.743399722094
0.51	-155.743399722094
0.515	-155.743399722094
0.52	-155.859194071329
0.525	-155.627605372858
0.53	-155.511811023622
0.535	-155.396016674386
0.54	-155.04863362667902
0.545	-155.04863362667902
0.55	-154.81704492820802
0.555	-154.81704492820802
0.56	-154.81704492820802
0.565	-154.932839277443
0.57	-154.81704492820802
0.575	-154.70125057897198
0.58	-154.353867531264
0.585	-154.122278832793
0.59	-153.890690134321
0.595	-153.543307086614
0.6	-153.65910143585
0.605	-153.427512737378
0.61	-153.427512737378
0.615	-153.195924038907
0.62	-153.080129689671
0.625	-152.616952292728
0.63	-152.269569245021
0.635	-152.03798054654902
0.64	-151.574803149606
0.645	-151.343214451135
0.65	-150.995831403428
0.655	-150.76424270495602
0.66	-150.416859657249
0.665	-150.18527095877698
0.67	-149.606299212598
0.675	-149.14312181565498
0.68	-148.44835572024098
0.685	-147.52200092635502
0.69	-146.943029180176
0.695	-146.01667438629
0.7	-145.43770264011098
0.705	-144.62714219546098
0.71	-143.70078740157498
0.715	-142.427049559981
0.72	-141.153311718388
0.725	-139.41639647985198
0.73	-137.44789254284402
0.735	-135.479388605836
0.74	-133.163501621121
0.745	-130.73182028717002
0.75	-127.83696155627598
0.755	-124.478925428439
0.76	-120.54191755442301
0.765	-116.25752663269999
0.77	-111.162575266327
0.775	-105.488652153775
0.78	-99.1199629458082
0.785	-91.82491894395551
0.79	-83.71931449745249
0.795	-74.6873552570634
0.8	-64.2658638258453
0.805	-53.1496062992126
0.81	-40.6438165817508
0.815	-26.9800833719315
0.82	-11.811023622047198
0.825	4.36087772116721
0.83	22.4641037517369
0.835	41.9175544233441
0.84	62.76053728578041
0.845	85.1088466882816
0.85	109.194071329319
0.855	134.55303381195
0.86	161.41732283464597
0.865	189.786938397406
0.87	219.777674849467
0.875	251.27373784159303
0.88	284.043538675313
0.885	318.43446039833304
0.89	353.98332561371
0.895	390.342751273738
0.9	427.62853172765205
