V	J
-0.1	-35.780453913848994
-0.095	-35.6646595646132
-0.09	-35.6646595646132
-0.085	-35.548865215377496
-0.08	-35.6646595646132
-0.075	-35.6646595646132
-0.07	-35.6646595646132
-0.065	-35.548865215377496
-0.06	-35.6646595646132
-0.055	-35.548865215377496
-0.05	-35.548865215377496
-0.045	-35.548865215377496
-0.04	-35.317276516906
-0.035	-35.4330708661417
-0.03	-35.317276516906
-0.025	-35.4330708661417
-0.02	-35.317276516906
-0.015	-35.4330708661417
-0.01	-35.317276516906
-0.005	-35.548865215377496
0.0	-35.4330708661417
0.005	-35.317276516906
0.01	-35.4330708661417
0.015	-35.317276516906
0.02	-35.4330708661417
0.025	-35.4330708661417
0.03	-35.4330708661417
0.035	-35.317276516906
0.04	-35.4330708661417
0.045	-35.317276516906
0.05	-35.317276516906
0.055	-35.4330708661417
0.06	-35.317276516906
0.065	-35.4330708661417
0.07	-35.2014821676702
0.075	-35.317276516906
0.08	-35.317276516906
0.085	-35.4330708661417
0.09	-35.317276516906
0.095	-35.4330708661417
0.1	-35.317276516906
0.105	-35.2014821676702
0.11	-35.317276516906
0.115	-35.0856878184345
0.12	-35.2014821676702
0.125	-35.2014821676702
0.13	-35.317276516906
0.135	-35.2014821676702
0.14	-35.317276516906
0.145	-35.0856878184345
0.15	-35.0856878184345
0.155	-35.0856878184345
0.16	-34.9698934691987
0.165	-35.0856878184345
0.17	-34.9698934691987
0.175	-34.9698934691987
0.18	-34.8540991199629
0.185	-34.9698934691987
0.19	-34.8540991199629
0.195	-34.8540991199629
0.2	-34.8540991199629
0.205	-34.7383047707272
0.21	-34.8540991199629
0.215	-34.7383047707272
0.22	-34.7383047707272
0.225	-34.7383047707272
0.23	-34.8540991199629
0.235	-34.7383047707272
0.24	-34.8540991199629
0.245	-34.7383047707272
0.25	-34.622510421491405
0.255	-34.7383047707272
0.26	-34.622510421491405
0.265	-34.7383047707272
0.27	-34.7383047707272
0.275	-34.8540991199629
0.28	-34.7383047707272
0.285	-34.8540991199629
0.29	-34.7383047707272
0.295	-34.622510421491405
0.3	-34.7383047707272
0.305	-34.622510421491405
0.31	-34.7383047707272
0.315	-34.622510421491405
0.32	-34.7383047707272
0.325	-34.622510421491405
0.33	-34.7383047707272
0.335	-34.5067160722557
0.34	-34.622510421491405
0.345	-34.622510421491405
0.35	-34.39092172301991
0.355	-34.5067160722557
0.36	-34.39092172301991
0.365	-34.5067160722557
0.37	-34.39092172301991
0.375	-34.5067160722557
0.38	-34.39092172301991
0.385	-34.5067160722557
0.39	-34.39092172301991
0.395	-34.2751273737842
0.4	-34.39092172301991
0.405	-34.159333024548395
0.41	-34.2751273737842
0.415	-34.2751273737842
0.42	-34.39092172301991
0.425	-34.2751273737842
0.43	-34.39092172301991
0.435	-34.159333024548395
0.44	-34.159333024548395
0.445	-34.159333024548395
0.45	-34.0435386753126
0.455	-34.0435386753126
0.46	-33.927744326076905
0.465	-34.0435386753126
0.47	-33.927744326076905
0.475	-34.0435386753126
0.48	-33.8119499768411
0.485	-33.927744326076905
0.49	-33.927744326076905
0.495	-33.69615562760541
0.5	-33.8119499768411
0.505	-33.69615562760541
0.51	-33.69615562760541
0.515	-33.69615562760541
0.52	-33.8119499768411
0.525	-33.5803612783696
0.53	-33.8119499768411
0.535	-33.5803612783696
0.54	-33.46456692913391
0.545	-33.5803612783696
0.55	-33.3487725798981
0.555	-33.46456692913391
0.56	-33.3487725798981
0.565	-33.46456692913391
0.57	-33.2329782306623
0.575	-33.3487725798981
0.58	-33.1171838814266
0.585	-33.1171838814266
0.59	-33.1171838814266
0.595	-32.8855951829551
0.6	-32.8855951829551
0.605	-32.7698008337193
0.61	-32.7698008337193
0.615	-32.6540064844836
0.62	-32.6540064844836
0.625	-32.5382121352478
0.63	-32.5382121352478
0.635	-32.422417786012
0.64	-32.19082908754049
0.645	-32.3066234367763
0.65	-32.0750347383048
0.655	-32.0750347383048
0.66	-31.959240389068995
0.665	-31.959240389068995
0.67	-31.727651690597497
0.675	-31.727651690597497
0.68	-31.380268642890204
0.685	-31.1486799444187
0.69	-31.0328855951829
0.695	-30.56970819823991
0.7	-30.3381194997684
0.705	-29.8749421028254
0.71	-29.527559055118104
0.715	-28.9485873089393
0.72	-28.601204261232102
0.725	-27.790643816581802
0.73	-27.0958777211672
0.735	-26.0537285780454
0.74	-24.8957850856878
0.745	-23.737841593330202
0.75	-22.232515053265402
0.755	-20.727188513200602
0.76	-18.7586845761927
0.765	-16.5585919407133
0.77	-13.779527559055097
0.775	-10.7548274664196
0.78	-6.77479272811487
0.785	-2.64549096804076
0.79	2.2366303844372397
0.795	7.93536706808708
0.8	14.4742936544697
0.805	21.5377489578509
0.81	30.1065308012969
0.815	39.485873089393195
0.82	50.2547475683187
0.825	62.06577119036589
0.83	75.49791570171381
0.835	90.0880037054192
0.84	106.646595646132
0.845	124.59471977767501
0.85	144.048170449282
0.855	165.00694766095398
0.86	187.818434460398
0.865	212.135247799907
0.87	237.84159333024502
0.875	265.516442797591
0.88	294.465030106531
0.885	325.150532654007
0.89	357.109773043075
0.895	389.647985178323
0.9	424.270495599815
